House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house
6e32ced7,4/28/1603 12:52 AM,5/19/1610 9:42 PM,2,84.170405,15.776747,62.816373,51.870346,27.379252,2,,3,3,1,2,144,3,4,1,26.231919
6e32cefc,10/13/1603 3:34 AM,3/15/1608 7:24 PM,2,57.719253,67.341891,,119.177337,71.789958,2,4,3,4,1,2,93,2,4,1,77.701631
6e32cf26,5/24/1600 7:36 PM,3/7/1607 2:42 PM,2,1.072398,25.097674,60.114222,143.926651,46.328111,2,2,4,4,1,2,135,2,2,1,35.225807
6e32cfde,12/15/1600 3:34 AM,6/11/1607 8:10 AM,2,29.751994,35.790417,7.269568,170.610065,47.287544,2,4,,3,1,2,124,2,2,1,46.502972
6e32cfec,5/23/1602 7:29 PM,8/11/1612 5:51 AM,1,49.458007,,77.048386,96.271542,5.063825,2,4,4,2,2,2,74,1,2,,
6e32d058,11/27/1602 7:38 PM,1/17/1611 8:18 PM,2,84.271118,131.952578,12.889536,90.780094,27.119841,,4,2,2,1,2,28,2,3,1,142.714658
6e32d09d,1/6/1606 12:26 PM,7/11/1612 3:22 AM,2,56.083481,44.952248,,83.564314,55.555218,2,2,2,3,1,2,115,3,3,1,55.721486
6e32d0a5,10/21/1606 1:13 PM,8/18/1610 11:44 AM,2,16.052652,114.943975,,57.513601,55.961658,2,2,4,3,1,1,45,2,2,,125.462999
6e32d0b3,3/20/1605 4:15 AM,1/21/1608 2:23 PM,1,10.192758,19.046904,26.831774,116.583447,0.559862,2,3,3,2,2,2,141,1,2,,29.219474
6e32d0db,10/12/1603 4:30 PM,7/4/1610 10:56 PM,2,17.557024,9.794132,3.804804,289.066307,31.805639,,3,4,2,1,2,150,2,2,1,19.957548
6e32d0ea,11/5/1604 1:11 PM,8/21/1611 8:14 AM,2,,107.572950,1.957051,172.678117,47.079764,2,4,3,2,1,2,52,2,3,1,118.327367
6e32d121,11/24/1602 9:25 AM,7/4/1607 2:59 PM,2,,58.617505,125.847410,93.674947,48.987611,2,2,2,3,1,2,101,2,4,1,68.874332
6e32d125,10/25/1603 6:45 PM,4/15/1607 7:11 AM,2,98.589831,,9.687245,89.359935,64.708699,2,3,4,3,1,2,74,3,,,
6e32d131,1/25/1605 1:48 PM,1/12/1611 5:19 AM,,32.004573,15.341088,,4.646544,3.000162,1,3,4,4,1,2,145,2,2,1,26.049379
6e32d14f,3/20/1604 3:11 AM,4/26/1611 1:21 PM,,26.807444,4.281174,35.957960,69.046504,2.470870,2,2,4,4,1,,156,2,2,1,14.669303
6e32d156,1/11/1606 10:13 AM,7/4/1607 7:15 AM,2,45.929026,49.960448,40.274508,201.710801,7.139380,2,2,2,4,1,2,110,2,3,,60.696604
6e32d1bd,11/13/1600 5:23 AM,1/10/1609 6:22 AM,1,0.967642,37.913322,55.133870,125.764754,22.112135,2,2,,2,2,2,122,1,2,1,48.646387
6e32d1c2,9/5/1600 5:11 PM,2/7/1607 9:52 AM,,38.331768,64.241662,32.805559,32.773963,4.433727,2,2,2,3,1,2,96,2,2,1,75.232566
6e32d1f5,11/26/1600 8:18 AM,7/9/1607 8:25 AM,2,5.790520,4.851918,49.781756,109.640569,17.841836,2,4,3,2,1,2,155,2,3,1,15.734019
6e32d24f,8/26/1601 7:41 AM,3/24/1611 8:27 AM,2,63.741342,40.532048,84.489880,242.519083,52.592362,,,3,3,1,1,119,2,,2,50.598883
6e32d2b3,8/21/1603 5:20 AM,3/17/1610 9:51 AM,2,32.955701,120.553581,23.872560,255.940737,71.120304,2,2,3,3,1,2,39,2,5,1,130.630050
6e32d2cc,7/9/1601 3:49 AM,6/26/1612 6:26 PM,2,86.952212,18.207334,19.474390,,36.958691,2,3,3,2,1,2,142,3,3,,28.322429
6e32d2e5,1/20/1606 12:40 PM,4/13/1610 12:27 PM,2,8.463539,69.041596,85.299104,99.373176,42.790245,2,4,3,3,1,1,91,2,2,2,79.678820
6e32d304,9/24/1603 9:56 AM,3/4/1610 5:32 PM,2,59.909350,31.592050,42.364805,174.927647,5.299394,2,4,4,4,1,2,128,2,2,1,41.732824
6e32d3a8,3/26/1604 6:45 PM,4/3/1608 6:47 PM,2,5.145196,125.056423,,91.411442,46.381102,2,2,4,3,1,1,35,2,2,,135.754793
6e32d428,12/13/1603 2:41 AM,10/2/1610 9:40 PM,2,83.811241,32.192704,34.780854,89.270508,11.605313,2,4,4,2,1,2,128,2,2,1,42.450602
6e32d496,2/20/1602 12:15 PM,4/18/1608 10:26 AM,2,,58.416303,45.286783,178.724019,14.267016,2,4,3,4,1,2,102,3,3,1,68.624203
6e32d50c,4/1/1600 8:54 PM,6/21/1609 2:46 AM,2,98.773067,63.337173,85.869332,219.703857,32.818482,,4,2,2,1,2,97,2,2,1,73.738517
6e32d541,5/27/1605 10:41 PM,2/16/1610 8:36 PM,2,82.338772,89.689247,85.789627,50.813771,37.435772,2,3,3,2,1,2,70,2,,1,100.615509
6e32d57d,10/6/1602 12:30 PM,1/23/1611 12:37 AM,2,33.419467,88.182562,85.123542,104.664574,22.885089,,2,2,4,1,,72,2,2,,98.323813
6e32d5b4,1/19/1606 9:25 PM,9/7/1609 10:39 AM,2,36.927198,23.312345,8.017165,0.779293,18.019896,2,,3,3,1,2,137,2,2,1,33.740410
6e32d67e,9/5/1601 12:23 PM,6/23/1609 3:58 PM,1,,55.082044,88.087414,73.545976,18.600474,2,4,2,2,2,2,105,1,,1,65.372002
6e32d6dc,2/18/1604 4:10 PM,1/9/1608 5:47 AM,2,28.591960,6.617182,,97.680739,34.345790,2,4,4,4,1,2,153,2,3,1,16.690101
6e32d70a,7/26/1601 5:39 AM,3/7/1612 2:37 AM,2,12.828533,32.872874,0.667165,218.294756,23.634178,1,4,4,3,1,2,127,2,4,1,43.490483
6e32d723,5/18/1605 2:43 PM,5/17/1610 8:39 AM,2,46.344531,87.772731,86.322330,65.865008,34.813526,2,3,2,2,1,2,72,2,,1,97.934785
6e32d76a,5/21/1603 4:37 PM,8/26/1611 12:33 PM,2,21.105346,22.554469,0.383133,270.850557,5.421341,2,4,4,4,1,2,137,2,5,,33.288342
