House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house
6e32cec9,5/5/1600 11:39 AM,6/10/1608 8:17 AM,2,6.555428,136.448973,78.445508,88.480988,72.245533,2,3,,2,1,2,24,2,,1,146.553349
6e32cee9,2/11/1603 2:55 PM,5/23/1611 7:33 AM,,38.977167,5.128739,44.068565,152.377106,20.965323,2,2,3,4,1,2,155,2,5,,15.416810
6e32ceeb,9/28/1600 7:35 PM,2/12/1611 11:42 PM,2,135.364314,85.723029,,48.236597,19.196820,2,2,2,4,1,2,74,2,2,,96.158416
6e32cf70,8/24/1600 2:21 PM,8/22/1611 5:37 AM,2,,61.604752,85.026054,111.073489,17.494191,,3,3,3,1,2,98,3,2,1,72.449136
6e32cf8c,9/3/1606 3:11 AM,12/23/1607 5:57 PM,,28.097092,24.365967,47.656262,27.190590,29.957674,2,3,4,3,1,2,136,2,2,1,35.355721
6e32cf94,12/11/1604 9:21 AM,9/10/1610 12:10 AM,2,34.380313,37.491263,73.307610,213.518082,8.596491,2,2,2,3,1,,123,2,2,1,47.990319
6e32cf98,10/25/1600 9:34 AM,8/26/1611 3:12 AM,2,35.572115,21.289962,15.138499,219.322458,25.023969,2,4,4,2,1,1,139,3,4,2,31.422184
6e32cf9d,10/25/1604 9:30 AM,1/2/1607 9:35 AM,2,57.230995,119.778364,1.543217,45.556787,43.794177,2,4,4,2,1,1,40,3,3,2,130.205692
6e32cfad,9/16/1602 7:37 PM,12/20/1610 11:58 AM,2,89.226178,0.416545,83.035603,120.919853,34.279911,2,2,2,3,1,2,160,2,2,1,10.630346
6e32cfbc,3/23/1604 5:26 AM,4/24/1612 3:16 AM,2,17.667580,61.310843,122.809509,128.133129,4.424503,2,4,3,3,1,2,99,3,5,1,71.788989
6e32d013,8/24/1602 5:22 PM,7/7/1611 10:10 PM,2,60.548904,39.851566,35.428939,56.675428,39.250533,2,4,3,4,1,1,120,3,,2,50.450784
6e32d05b,5/18/1600 11:51 AM,11/10/1610 11:41 AM,2,25.546042,23.948609,85.761268,24.334488,8.834375,1,3,,4,1,2,136,2,2,1,34.942444
6e32d072,8/18/1602 4:45 PM,1/1/1607 9:56 AM,2,69.296172,12.947486,112.244581,174.606217,42.394393,,2,3,2,1,2,147,2,3,,23.463134
6e32d1cd,6/18/1606 11:45 AM,11/27/1611 3:40 AM,2,84.270970,11.947247,15.970085,34.225255,43.447090,1,2,3,4,1,2,148,3,4,1,22.603148
6e32d257,7/26/1601 9:34 PM,12/1/1611 5:12 AM,,17.112269,47.047334,4.401747,168.601038,7.836562,2,4,4,4,1,2,113,2,5,1,57.464034
6e32d2b7,6/6/1605 1:48 PM,6/24/1611 12:28 PM,2,60.433556,94.204519,58.222608,76.136029,45.988511,2,4,4,4,1,2,66,3,4,1,104.416870
6e32d2bf,3/11/1600 6:16 PM,7/12/1610 3:49 AM,2,,46.876783,58.357127,149.353200,17.253451,2,2,3,2,1,2,113,2,2,1,57.732126
6e32d32a,2/17/1602 7:17 AM,3/22/1612 4:16 PM,2,82.433798,27.686188,14.926680,126.581244,80.202265,,3,3,2,1,1,132,3,2,2,38.408979
6e32d334,7/7/1601 10:57 PM,7/5/1610 9:53 PM,1,12.775646,39.041736,76.591978,5.182946,10.736959,1,4,3,3,2,2,121,1,2,1,49.734092
6e32d33a,9/21/1600 6:32 AM,6/20/1611 10:34 AM,,69.498642,1.119278,25.003410,43.645415,70.506056,2,4,,2,1,2,159,3,2,1,11.599176
6e32d344,8/8/1603 6:14 AM,6/22/1610 12:19 AM,2,25.206598,19.543410,23.019379,94.010943,6.461654,2,3,3,2,1,,140,2,,1,29.914494
6e32d363,12/10/1602 10:29 PM,4/3/1611 4:15 AM,2,109.649742,3.313097,25.694958,169.948933,8.115324,2,3,4,3,1,,157,3,3,1,14.140423
6e32d395,7/23/1601 2:30 PM,5/12/1607 3:28 PM,2,37.299716,18.543176,,142.146513,27.951666,2,4,2,2,1,1,141,2,2,2,28.938297
6e32d3ec,5/25/1604 1:49 PM,8/13/1609 6:59 AM,,40.222213,47.722734,1.510533,134.650298,10.286896,2,3,,4,1,2,112,3,5,1,58.453651
6e32d403,3/24/1602 5:25 AM,4/12/1608 2:49 AM,1,109.652285,3.305009,,150.075684,12.117934,2,4,4,3,2,2,157,1,,1,14.240904
6e32d409,10/17/1606 12:51 AM,1/18/1612 7:17 AM,2,63.327961,16.776052,,,41.407574,,4,3,,1,2,143,3,2,1,27.291169
6e32d40e,12/21/1606 7:15 PM,8/15/1608 8:13 PM,2,35.773636,19.623303,22.429077,245.847612,28.979830,1,3,4,2,1,2,140,3,5,1,30.533383
6e32d480,8/13/1601 1:52 AM,2/9/1608 10:54 PM,2,53.002295,72.772031,20.200267,146.320528,77.787215,,2,4,2,1,2,87,2,4,1,82.875147
6e32d48b,8/11/1604 3:34 AM,3/2/1609 11:32 AM,2,18.631609,51.711202,43.212642,102.891886,0.526778,2,2,3,3,1,1,108,2,2,2,62.224729
6e32d48d,11/23/1602 12:16 AM,11/7/1609 5:14 PM,2,,27.809391,43.758659,70.297535,68.136047,2,2,2,3,1,2,132,2,2,1,38.296694
6e32d4b9,10/10/1601 1:46 AM,9/16/1609 1:23 AM,2,59.513221,18.237416,26.800166,112.590819,22.206056,,3,4,2,1,2,142,3,4,1,28.396780
6e32d515,9/12/1605 5:13 AM,10/23/1612 6:59 PM,2,25.548862,17.665849,19.648670,85.983800,39.451852,2,2,4,3,1,2,142,2,2,,27.947395
6e32d525,12/8/1606 5:43 AM,2/10/1607 11:25 PM,2,56.651363,2.659581,88.792799,26.906658,59.994083,2,4,3,4,1,2,157,3,4,,12.787317
6e32d57b,4/9/1601 3:27 AM,9/18/1607 9:30 PM,2,53.343453,,85.604143,69.851440,16.939834,2,4,2,3,1,2,74,2,3,1,
6e32d5a3,9/19/1603 3:24 PM,2/6/1612 9:11 PM,2,31.429998,47.634656,89.095264,210.160532,4.888251,2,3,2,2,1,2,112,2,3,1,58.549073
