House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house
6e32cf4b,5/14/1600 10:15 PM,2/15/1609 7:17 PM,2,26.910972,5.051018,95.267946,124.213778,42.632960,2,3,3,4,1,1,155,2,4,,15.775998
6e32cf63,3/23/1605 3:37 PM,10/27/1608 5:54 PM,2,3.246707,98.765114,150.032514,205.231808,6.417290,2,3,3,,1,2,61,3,2,1,109.293587
6e32cfff,11/24/1605 11:39 AM,3/3/1612 11:41 PM,2,55.194201,106.867728,112.204225,7.331488,13.643248,2,,4,2,1,2,53,2,3,1,117.688478
6e32d020,8/19/1606 7:24 AM,10/20/1612 2:30 AM,2,116.232545,,135.955180,96.901750,75.913338,2,3,4,2,1,2,74,3,4,1,
6e32d0af,8/20/1603 5:14 PM,12/3/1607 10:58 PM,2,110.908864,33.477492,48.564874,126.313421,45.312225,2,2,2,4,1,1,127,2,2,2,44.072108
6e32d10f,10/26/1605 2:49 PM,9/24/1608 6:34 PM,2,51.148075,16.326244,109.613235,123.868738,11.439484,2,,2,2,1,2,144,2,,1,26.442191
6e32d137,11/21/1602 7:37 PM,6/1/1608 11:12 PM,2,7.461255,58.072430,11.289543,5.271383,25.666285,2,4,2,4,1,2,102,2,2,,68.598329
6e32d13a,6/8/1602 1:54 PM,5/16/1609 2:12 AM,2,50.214778,17.829403,60.338369,18.143537,24.141732,2,2,2,4,1,2,142,2,5,1,27.913094
6e32d181,11/12/1605 5:13 PM,2/10/1607 2:38 AM,1,36.595197,103.053243,76.125837,237.894909,66.241648,1,2,4,4,2,2,57,1,2,1,113.859546
6e32d228,12/5/1603 10:50 AM,8/6/1607 5:47 PM,2,,114.194064,133.570557,208.192054,53.074457,,3,4,3,1,2,46,2,2,1,124.624814
6e32d230,7/4/1605 11:29 AM,4/27/1608 4:53 AM,1,106.853579,41.309625,41.388391,108.887623,18.756287,2,4,4,2,2,2,119,1,3,1,52.279563
6e32d26f,7/10/1600 11:47 PM,8/8/1611 2:58 AM,2,,21.937248,42.865579,21.490532,2.717550,1,3,2,2,1,1,138,3,2,,32.912788
6e32d293,7/12/1602 8:59 PM,5/11/1612 6:29 AM,,24.637051,78.196206,11.672968,255.880760,52.689577,,3,3,4,1,2,82,3,2,1,88.830586
6e32d369,2/7/1605 9:19 PM,7/16/1607 10:50 PM,2,117.483152,17.131191,30.997456,44.246945,53.860771,2,2,2,3,1,2,143,2,2,1,27.573613
6e32d37c,3/20/1604 10:13 AM,10/11/1608 9:49 AM,,14.985584,13.685564,135.334422,29.612606,3.020316,1,4,3,3,1,1,146,3,5,2,24.224280
6e32d37f,6/17/1601 12:28 PM,4/10/1612 12:58 AM,1,4.450618,67.988677,131.023051,30.234348,21.602362,2,4,3,4,2,2,92,1,4,1,78.924895
6e32d3c4,8/19/1604 2:12 AM,12/14/1610 10:10 PM,1,,1.915769,122.947722,61.654786,13.754069,,2,2,3,2,2,158,1,5,,12.694277
6e32d43c,2/8/1604 11:21 PM,1/2/1611 11:20 AM,2,2.691707,53.544587,38.146522,58.884537,56.383395,2,2,3,4,1,1,106,2,2,,64.205107
6e32d45b,12/28/1602 2:21 AM,10/12/1612 12:59 PM,2,41.022890,54.565460,46.579178,95.139166,10.562068,2,4,3,4,1,2,105,3,2,1,65.535891
6e32d4b6,12/20/1603 2:52 AM,1/20/1612 11:11 PM,2,4.796936,,116.446259,246.927413,0.981445,2,4,2,4,1,2,74,3,2,1,
6e32d4e7,2/18/1605 11:11 PM,10/25/1611 12:54 PM,2,27.849490,12.291261,25.359079,84.238978,35.922373,2,4,4,2,1,2,148,2,3,1,22.633008
6e32d506,11/16/1602 6:35 AM,9/22/1611 1:28 PM,2,,14.280275,6.322054,36.582445,0.997915,,2,3,4,1,2,146,3,3,1,24.771023
6e32d51a,10/20/1605 12:40 AM,3/2/1612 1:31 AM,2,14.747926,75.533444,122.838542,118.512619,88.252275,2,2,2,3,1,2,84,2,3,1,85.993143
6e32d59d,7/11/1600 7:10 AM,10/20/1612 5:47 PM,2,55.999210,69.945789,34.936662,22.861755,43.560268,2,3,4,,1,2,90,2,2,1,80.069753
6e32d67c,5/10/1605 4:52 PM,10/14/1610 11:58 PM,,24.193001,57.493430,39.921819,215.000957,47.424962,1,2,3,3,1,2,103,2,2,1,68.061396
6e32d6bc,6/21/1605 4:52 AM,5/19/1607 7:44 PM,2,15.588402,8.626605,37.989506,7.258030,69.651327,2,2,2,4,1,2,151,2,3,1,19.333749
6e32d6cd,1/23/1602 6:26 PM,8/3/1609 9:12 PM,2,45.536560,68.644931,43.686718,53.254211,21.101053,2,,2,,1,2,91,2,2,1,79.242311
6e32d7c1,1/21/1601 8:10 PM,5/9/1609 10:49 AM,2,22.743582,79.633481,75.881391,141.181546,16.322175,2,4,4,3,1,2,80,2,2,1,89.710856
6e32d7d2,4/8/1603 2:25 AM,12/23/1609 1:10 PM,2,81.570308,34.087951,61.094047,141.372681,27.566931,1,4,3,4,1,1,126,2,2,2,44.610888
6e32d874,1/18/1606 8:29 AM,2/10/1607 3:21 PM,2,2.651019,23.555994,56.144471,155.818078,17.045216,1,3,4,4,1,2,136,2,3,1,33.613932
6e32d8a8,5/20/1602 11:26 PM,9/27/1611 3:51 AM,2,26.400855,42.292762,2.455109,47.911389,9.151318,2,4,3,4,1,1,118,3,,2,53.135147
6e32d8ed,9/25/1600 12:35 AM,10/28/1611 4:43 PM,2,126.497990,21.985977,26.882244,112.433773,26.592235,2,,3,4,1,2,138,2,5,1,32.731869
6e32d90a,10/22/1604 1:40 AM,11/19/1607 3:50 AM,2,62.157001,,59.258784,128.013129,89.146712,,,3,4,1,2,74,2,2,1,
6e32d91e,4/6/1600 2:29 AM,7/1/1607 12:31 PM,2,76.001541,,68.048753,42.194684,8.778772,2,2,4,2,1,,74,2,3,1,
6e32d95c,9/4/1601 6:31 AM,9/20/1608 4:50 AM,2,35.633888,33.924334,18.498101,118.375215,2.871158,2,4,3,2,1,1,126,3,2,2,44.158670
6e32d9db,1/22/1600 12:25 AM,1/21/1610 7:16 AM,,119.679816,65.859558,,114.019251,13.508412,2,,2,3,1,2,94,2,2,,76.535456
6e32d9de,8/28/1601 9:39 PM,5/26/1611 3:26 PM,2,24.304009,,122.647730,41.536697,88.064866,1,2,4,2,1,2,74,2,2,1,
6e32dab0,5/16/1603 12:33 AM,12/2/1612 2:22 AM,2,11.130731,55.943585,22.391817,92.748548,29.053277,2,2,2,3,1,2,104,2,2,1,66.405347
6e32db10,3/22/1600 8:27 PM,4/12/1610 2:24 AM,2,50.599471,37.246616,97.681616,42.765338,18.040821,2,3,2,,1,1,123,2,2,2,48.143457
6e32db22,9/11/1601 3:10 PM,11/18/1612 7:55 PM,2,11.737205,39.828172,20.903606,71.371263,11.116614,2,3,4,4,1,2,120,3,,,50.268178
6e32db6b,1/15/1606 4:40 PM,2/10/1608 7:58 PM,2,19.167887,34.253133,74.910134,26.162516,23.890231,1,2,3,2,1,1,126,2,5,2,45.024446
6e32db86,9/13/1606 10:26 PM,7/7/1610 11:31 PM,2,20.824222,9.119068,13.379529,227.457413,65.505029,2,4,4,4,1,2,151,2,,,19.395144
6e32dc8d,9/2/1606 9:48 PM,2/18/1608 9:58 PM,2,127.633174,59.608452,57.764741,199.356027,5.634320,2,,2,3,1,2,100,2,4,1,69.988483
6e32dca9,5/27/1601 5:16 AM,9/24/1611 3:14 PM,2,103.734699,51.653393,14.561748,258.799136,37.361896,1,3,4,2,1,2,108,3,2,1,61.978342
6e32dcaf,1/14/1601 1:50 AM,12/28/1607 8:13 AM,2,36.606850,115.407994,35.466323,47.728306,40.923219,1,2,3,2,1,2,45,2,2,1,125.850129
6e32dd0b,12/4/1605 3:39 PM,8/28/1612 3:18 AM,2,17.300105,14.173501,2.253924,219.212159,33.035101,2,3,3,2,1,2,146,2,2,,24.454434
6e32dd13,6/24/1603 5:41 PM,6/18/1610 2:26 AM,2,26.229021,126.125142,5.719577,17.069220,29.868447,2,,2,2,1,2,34,2,3,1,136.174477
6e32dd28,7/19/1600 10:41 PM,12/8/1612 10:32 AM,2,42.889293,82.026003,38.972840,202.466866,25.026955,2,2,4,2,1,2,78,2,2,1,92.069720
6e32dd4d,5/25/1603 7:49 PM,6/14/1608 3:17 AM,2,104.933621,51.690694,37.690537,83.941474,8.530741,2,3,2,2,1,2,108,2,2,1,61.724174
6e32dd7f,2/16/1600 5:14 AM,4/8/1608 11:16 AM,2,120.094494,6.011409,32.696685,177.588967,56.566639,1,4,3,4,1,1,154,3,3,2,16.902872
6e32ddab,9/17/1600 12:28 PM,12/15/1611 7:42 PM,,16.194359,4.809182,43.513633,217.643509,7.530790,2,3,3,4,1,,155,2,4,1,14.928649
