House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house
6e32ceed,4/28/1601 6:26 AM,8/5/1612 5:47 PM,2,23.614598,24.762207,84.008876,,7.699310,2,4,2,3,1,2,135,2,2,1,35.537406
6e32cf0e,2/11/1606 1:48 PM,3/23/1609 4:29 AM,2,60.198424,65.509891,108.357045,179.275253,52.220719,2,2,3,3,1,2,94,3,2,1,76.231255
6e32cf1a,5/12/1605 4:32 AM,6/28/1612 4:31 AM,2,11.585549,54.728789,13.620052,12.494618,38.447667,2,4,2,3,1,2,105,2,2,,65.333281
6e32cf92,7/5/1601 12:54 AM,8/2/1608 1:35 AM,,11.381960,23.760392,32.981737,67.083665,21.011419,2,,2,,1,1,136,2,2,2,34.292892
6e32cfd3,12/28/1600 10:42 PM,5/4/1612 4:12 PM,2,0.550172,52.901633,114.410861,,20.379008,2,2,3,4,1,2,107,2,2,1,63.465074
6e32d050,2/28/1600 11:28 AM,12/25/1610 9:33 PM,2,144.839853,3.916571,13.078234,37.845593,25.428054,2,4,4,3,1,2,156,2,2,1,14.369894
6e32d052,2/11/1601 12:30 AM,4/25/1611 9:57 AM,2,118.651736,32.700903,56.862286,5.995957,39.460784,,,2,2,1,2,127,3,5,1,42.837121
6e32d05d,2/8/1606 12:20 AM,7/11/1608 2:39 AM,1,,59.517323,41.629638,91.330160,51.924313,1,2,2,2,2,2,100,1,5,1,69.714655
6e32d168,6/27/1602 8:46 AM,10/18/1610 10:46 AM,2,11.528964,70.814990,21.996327,107.330487,56.774188,2,2,3,,1,2,89,2,2,1,81.358144
6e32d198,11/3/1604 12:46 PM,4/9/1609 7:34 PM,1,61.956492,86.221970,,94.953504,0.182339,2,4,2,3,2,2,74,1,2,1,97.134766
6e32d1a6,5/17/1601 8:38 PM,2/1/1609 12:36 AM,2,19.811479,128.836428,25.903053,159.313637,39.037751,2,4,4,2,1,2,31,3,5,1,138.987432
6e32d247,7/9/1600 12:30 PM,1/6/1610 11:20 AM,1,25.238983,38.860171,125.084861,16.405043,67.465790,1,2,3,4,2,,121,1,3,1,49.476535
6e32d251,8/6/1604 6:57 AM,3/18/1607 10:20 AM,2,106.051874,50.450694,45.642858,64.315899,32.062269,2,2,3,2,1,2,110,2,5,1,60.701051
6e32d28f,11/10/1604 11:56 PM,7/11/1609 9:59 PM,,,6.867749,90.900064,95.824650,92.210772,2,2,3,4,1,2,153,3,2,1,17.471893
6e32d2bb,4/1/1606 6:30 PM,9/14/1607 12:45 AM,2,24.749239,57.295668,15.389556,55.354765,38.950286,2,2,3,3,1,1,103,2,4,2,67.967217
6e32d2c1,8/14/1602 1:29 PM,2/19/1610 1:30 AM,2,120.733528,11.597347,146.396552,110.838136,16.907109,1,4,4,4,1,1,148,3,5,2,22.549198
6e32d312,10/14/1604 4:49 AM,12/3/1612 6:56 PM,,12.935620,69.027440,3.285966,201.662452,42.016971,2,,3,3,1,2,91,3,3,1,79.933330
6e32d374,12/19/1604 9:56 PM,10/28/1610 5:39 PM,2,25.101670,29.613494,55.024261,196.324466,69.978853,2,3,4,2,1,2,130,2,4,1,39.913958
6e32d39b,10/27/1600 6:44 AM,2/16/1608 4:16 PM,2,34.178862,65.147690,58.065483,182.937118,88.520037,2,4,2,2,1,1,95,2,4,,75.936031
6e32d3c1,12/15/1605 5:24 PM,6/6/1612 8:32 AM,2,22.329426,24.015656,2.660043,48.029591,3.088986,,2,2,2,1,2,136,2,2,1,34.045553
6e32d3cf,5/6/1602 2:17 AM,5/20/1608 2:13 AM,1,22.048107,85.201231,24.949259,147.886385,52.554378,2,3,4,4,2,2,75,1,3,1,95.482910
6e32d3dc,2/6/1603 3:13 PM,2/24/1609 10:52 PM,2,25.286142,101.851511,17.619700,,6.903864,2,2,4,3,1,2,58,2,3,1,112.561969
6e32d41c,6/4/1602 10:53 PM,10/13/1609 1:14 AM,2,32.269043,21.977024,5.429153,244.510351,35.196896,1,2,2,2,1,2,138,2,2,1,32.675890
6e32d4a2,1/15/1606 5:26 PM,3/26/1612 3:40 PM,2,102.742239,87.174461,,67.349380,24.426349,2,2,4,3,1,2,73,2,4,1,97.666718
6e32d4d7,9/1/1602 4:20 PM,8/7/1612 11:48 AM,2,42.171718,,38.438777,105.570384,46.298736,2,4,4,2,1,1,74,3,4,,
6e32d4f3,5/7/1605 11:24 AM,12/23/1607 3:16 AM,2,53.476126,,77.343604,75.753684,12.021764,1,3,2,4,1,2,74,2,,1,
6e32d52b,9/28/1605 8:55 PM,8/14/1608 7:45 PM,2,40.168785,29.961515,109.443143,68.114843,23.325201,2,3,4,,1,2,130,2,3,1,40.143397
6e32d579,11/23/1604 6:33 AM,4/6/1608 9:38 PM,2,107.268980,62.656869,38.897115,72.117075,23.615800,2,,3,4,1,2,97,2,2,1,73.112153
6e32d598,12/9/1605 6:49 AM,8/11/1608 11:12 PM,2,150.645269,27.126369,9.913506,,23.449791,2,2,3,2,1,2,133,2,5,1,37.270407
6e32d5c3,11/12/1600 8:25 PM,5/21/1610 10:37 AM,2,66.335858,120.978730,50.615527,135.505150,0.386423,2,3,2,2,1,2,39,3,3,1,131.537243
6e32d5c8,12/16/1605 8:45 PM,12/23/1610 6:35 PM,2,33.880665,77.375875,,,22.824517,2,2,4,2,1,2,83,2,2,1,87.472476
6e32d616,4/27/1600 7:30 PM,10/12/1610 2:11 AM,2,141.523166,22.446327,137.235922,183.152811,5.034471,1,4,2,4,1,2,138,2,4,1,32.725863
6e32d62d,7/20/1602 9:40 PM,5/21/1608 7:45 AM,1,88.002963,77.459649,,5.701726,66.968689,2,4,2,4,2,2,83,1,,1,88.138903
6e32d633,2/1/1602 8:19 PM,1/22/1610 9:39 PM,2,6.509459,,,11.531404,34.655994,1,2,4,2,1,2,74,2,2,1,
6e32d637,2/15/1601 7:53 PM,1/23/1611 12:43 AM,1,65.581238,39.310469,112.224372,0.901592,74.112203,2,2,4,3,2,2,121,1,2,,50.115948
6e32d65e,1/9/1603 12:43 AM,6/24/1609 12:54 AM,2,48.322404,19.740304,65.902782,8.820359,18.927025,2,,4,2,1,2,140,3,3,,30.070507
6e32d66f,8/14/1603 4:38 PM,7/21/1610 2:37 PM,2,103.617087,32.128276,47.642246,50.868227,47.936623,2,4,3,3,1,2,128,2,2,1,43.099232
6e32d731,11/21/1603 10:27 PM,12/23/1611 6:35 AM,2,29.832753,62.735986,44.724407,146.914709,19.139487,2,4,3,4,1,2,97,2,5,,73.575472
6e32d73f,5/20/1606 12:32 AM,9/1/1610 3:50 AM,2,21.985219,46.200079,59.419579,72.943792,39.070007,1,3,3,3,1,2,114,2,2,1,56.589139
