House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32cec0,4/21/1602 12:41 AM,7/9/1609 1:11 AM,2,138.600639,0.256239,69.486467,14.394903,63.109038,2,3,4,,1,2,160,2,5,1,10.505662,1
6e32ceda,10/23/1603 11:14 PM,10/21/1611 7:40 AM,2,10.998322,122.930753,63.794375,53.019891,17.045949,2,4,3,3,1,2,37,3,2,1,132.934312,1
6e32cf09,3/18/1603 3:53 AM,5/17/1610 9:36 PM,2,52.819705,80.970959,96.656914,70.965631,6.548119,2,2,2,3,1,2,79,2,3,1,91.425357,1
6e32cfa9,8/18/1606 12:23 AM,1/20/1608 10:45 AM,2,82.283966,4.331436,29.043012,119.126593,24.298255,2,,2,3,1,1,156,2,3,2,14.695102,1
6e32cfb7,9/11/1603 11:53 AM,5/20/1611 4:49 PM,2,34.524141,,6.740951,222.341302,1.821655,2,4,2,4,1,2,74,2,2,1,,1
6e32cfd5,6/13/1601 1:25 PM,6/19/1611 4:13 AM,,38.877415,25.065928,,76.196189,1.257721,2,3,3,3,1,2,135,3,4,,35.568437,1
6e32d0c0,1/19/1606 12:50 PM,10/27/1610 9:13 PM,2,35.988844,4.570255,67.579542,157.877738,15.756025,2,2,3,4,1,2,155,2,2,1,15.068711,1
6e32d0f3,11/22/1606 11:22 PM,1/13/1611 11:32 AM,2,83.914728,107.184545,57.067604,147.898157,55.592034,2,2,4,4,1,1,53,2,2,,117.410316,1
6e32d166,1/7/1602 3:34 AM,1/2/1607 3:19 PM,2,64.288283,101.610694,,204.669501,60.009117,2,2,4,3,1,2,58,2,2,1,112.494554,1
6e32d234,6/25/1605 8:26 AM,3/11/1608 8:21 PM,2,59.504656,29.541134,3.36696,63.397907,21.391704,2,4,3,3,1,2,130,3,5,1,40.454345,1
6e32d244,3/22/1604 2:45 AM,10/8/1610 6:15 AM,2,74.890453,17.524012,,86.880636,77.993602,2,,4,3,1,2,142,2,5,1,27.65599,1
6e32d266,3/21/1603 7:45 AM,9/11/1611 1:14 PM,2,1.624838,55.12687,,163.885,16.102894,1,,4,4,1,1,105,2,5,2,65.487434,1
6e32d280,9/12/1601 6:51 AM,3/3/1608 5:42 PM,2,13.14006,23.920629,7.363083,154.780872,15.867466,2,3,4,2,1,2,136,2,5,1,34.604391,1
6e32d28a,2/15/1606 8:48 AM,1/11/1608 9:13 AM,1,25.738221,67.262718,31.8348,84.042989,7.106701,2,4,3,4,2,2,93,1,5,1,77.441446,1
6e32d2e0,9/19/1604 5:28 PM,10/19/1608 3:28 PM,2,86.072564,85.923206,85.563521,146.862456,12.638273,2,2,2,3,1,1,74,2,3,,96.73714,1
6e32d315,3/7/1602 2:21 AM,5/18/1607 11:32 AM,2,51.245386,22.260774,9.938782,96.415385,5.789836,2,,,3,1,2,138,3,,,33.157025,1
6e32d328,12/6/1606 11:19 PM,10/10/1609 12:11 PM,2,34.410733,16.638938,,50.512115,15.00942,1,2,4,4,1,1,143,2,2,2,27.320449,1
6e32d349,11/3/1602 2:22 PM,8/2/1609 1:28 PM,1,67.171839,73.733494,22.279648,104.567561,43.619874,2,3,2,3,2,2,86,1,2,,84.146593,1
6e32d3a6,12/15/1606 9:36 PM,9/7/1609 12:40 PM,2,61.21246,58.817801,5.643314,160.459915,41.915869,2,2,4,2,1,2,101,2,2,1,69.088692,1
6e32d3ad,2/5/1603 6:27 PM,9/15/1610 10:47 AM,2,8.423696,3.031959,31.432316,10.970801,21.169758,1,2,3,2,1,2,157,2,2,1,13.114153,1
6e32d3f6,4/10/1604 6:55 PM,1/18/1611 3:36 PM,2,,26.82009,34.978795,91.361455,41.862843,2,3,2,4,1,2,133,2,2,,37.442226,1
6e32d414,8/9/1601 4:52 PM,5/12/1607 5:32 PM,2,57.7146,6.002568,47.348837,32.106155,2.87067,2,4,3,,1,2,154,2,2,1,16.567206,1
6e32d456,8/7/1603 12:42 PM,12/20/1607 10:42 AM,2,15.523291,153.3606,32.174217,,33.493852,2,,4,4,1,1,7,3,5,1,163.658437,1
6e32d460,8/24/1603 3:24 PM,11/28/1612 11:28 PM,,,8.760628,124.305272,30.021297,15.976977,1,3,2,,1,2,151,2,3,1,19.113862,1
6e32d46a,4/8/1603 5:31 AM,12/5/1612 5:42 AM,2,42.570615,5.4904,,129.093289,69.237309,2,2,2,3,1,2,155,2,4,1,16.031784,1
6e32d493,10/12/1606 8:17 PM,3/9/1608 3:32 AM,2,24.68436,9.161377,,81.939551,56.170727,2,2,3,4,1,2,151,2,2,1,20.134738,1
6e32d49f,10/8/1600 5:36 PM,2/4/1612 7:52 PM,2,71.753065,39.952939,,18.206663,4.047991,2,4,2,2,1,2,120,2,2,1,50.871204,1
6e32d4dd,3/4/1606 7:37 AM,5/23/1608 4:45 PM,,22.060342,16.090119,8.102772,146.852007,4.032337,2,2,4,2,1,2,144,2,,1,26.44061,1
6e32d4fa,6/3/1602 4:18 AM,12/21/1611 5:22 AM,,19.373454,105.408838,112.774373,111.202407,18.14735,1,3,3,2,1,2,55,2,2,1,116.378343,1
6e32d5b6,9/11/1606 6:30 PM,5/13/1609 9:42 AM,2,72.979347,68.347073,66.602162,21.463548,14.622076,2,4,2,4,1,2,92,2,,1,78.594989,1
6e32d5fa,10/8/1604 10:44 AM,11/28/1612 5:18 AM,2,,41.525156,80.659266,106.329489,87.554465,2,,2,4,1,2,118,2,2,,52.058128,1
6e32d621,5/18/1602 6:50 PM,8/4/1607 6:38 PM,1,26.366804,10.751593,20.160618,4.396858,63.833387,2,,4,4,2,,149,1,5,,21.519002,1
6e32d653,1/8/1600 4:45 PM,7/21/1608 9:17 AM,2,83.12575,32.009381,6.967004,237.180909,10.006391,2,,3,2,1,1,128,2,4,,42.844727,1
6e32d65a,8/13/1605 12:26 PM,7/7/1607 4:20 PM,2,104.336674,91.503244,42.641175,87.265123,43.742595,2,3,2,4,1,2,68,2,2,,101.584846,1
6e32d675,10/15/1602 11:59 PM,8/16/1608 6:59 PM,1,22.73322,,50.61605,222.764212,39.853352,,4,3,4,2,2,74,1,3,1,,1
6e32d6ec,7/3/1605 9:33 PM,11/5/1612 5:22 AM,2,32.778152,39.33523,46.037998,106.244859,21.599697,2,3,,4,1,2,121,2,4,1,50.137683,1
6e32d6ff,3/23/1604 12:22 AM,11/11/1612 4:28 AM,2,38.723276,12.31167,44.829363,16.475292,17.769839,2,2,2,4,1,2,148,2,2,,23.021557,1
6e32d711,5/12/1605 7:33 PM,9/17/1612 7:25 AM,2,28.254131,20.812951,24.142442,248.660499,2.189447,2,2,2,2,1,2,139,2,2,,31.530613,1
6e32d7b5,1/16/1604 11:37 PM,1/25/1611 1:22 PM,2,55.823443,5.134405,15.071091,137.720057,62.371782,2,3,3,3,1,2,155,2,4,1,15.870721,1
6e32d7de,8/14/1600 2:21 AM,6/12/1611 2:42 PM,2,77.178597,12.818926,29.397304,104.395568,19.416002,2,4,2,2,1,,147,3,5,1,23.252372,1
6e32d7e7,6/17/1600 12:25 AM,1/20/1610 2:35 PM,2,1.467809,39.575028,52.48075,102.150075,44.688567,1,4,2,3,1,2,120,2,2,1,50.2197,1
6e32d7f7,3/24/1604 11:21 PM,3/24/1612 7:39 AM,2,29.343361,,,76.970324,11.550646,1,3,2,4,1,1,74,2,5,2,,1
6e32d80d,6/11/1604 11:56 AM,1/23/1607 1:25 PM,2,43.308427,43.776701,43.559832,48.611809,73.753749,,3,4,2,1,,116,3,,1,53.900852,1
6e32d896,3/23/1602 5:29 PM,3/2/1607 1:37 AM,2,5.199882,13.210754,33.683798,94.385622,27.752067,,3,2,3,1,2,147,2,2,1,23.24939,1
6e32d8be,12/8/1600 2:58 AM,5/9/1610 10:19 PM,1,16.166707,101.425697,120.480445,214.380435,14.316628,2,2,3,4,2,2,59,1,2,1,111.815132,1
6e32d92a,7/2/1603 1:51 AM,4/15/1610 2:10 AM,1,7.340811,11.626535,2.969159,19.527763,2.127443,2,2,2,4,2,2,148,1,2,1,22.285341,1
6e32d93e,4/19/1601 12:53 PM,2/19/1607 7:58 AM,2,3.275924,52.292404,7.547997,139.40264,22.829718,1,2,2,4,1,2,108,2,,1,62.451459,1
6e32d945,2/2/1602 11:19 PM,8/12/1607 3:13 PM,2,51.65286,34.030773,64.948857,97.007408,26.739409,2,3,2,4,1,1,126,3,5,2,44.507222,1
6e32d94b,6/16/1602 5:42 AM,11/9/1609 6:41 PM,2,6.676025,23.393983,35.721388,90.638097,13.909392,,4,4,4,1,1,137,2,3,1,33.505463,1
6e32d99a,3/7/1601 11:46 AM,5/3/1611 4:37 AM,2,58.824426,5.596892,15.008746,32.820676,13.827031,2,3,3,4,1,2,154,2,2,1,15.931279,1
6e32d9fd,6/13/1603 10:23 PM,8/13/1607 1:39 AM,2,12.526223,2.087338,51.60109,56.858607,43.996068,2,4,2,3,1,,158,2,3,1,12.807202,1
6e32da1d,5/26/1604 12:36 PM,3/13/1609 9:34 AM,2,9.223375,12.955231,88.088107,108.431464,12.132057,1,3,3,4,1,2,147,2,2,1,23.793021,1
6e32da37,5/16/1601 10:12 PM,10/4/1609 7:21 AM,2,38.419444,16.02218,43.842614,98.827479,19.632429,2,2,3,3,1,2,144,3,2,1,26.024293,1
6e32da9a,1/6/1605 5:32 AM,4/9/1609 9:55 AM,1,43.299084,53.806216,18.853059,151.529582,48.583086,1,3,2,4,2,2,106,1,5,1,63.924799,1
6e32dabb,12/2/1605 7:52 PM,11/24/1611 7:14 AM,2,15.935259,10.184655,,92.357947,15.449139,2,2,2,3,1,2,150,2,,,20.366987,1
6e32db08,6/26/1605 7:26 AM,8/15/1612 4:57 AM,2,11.523713,87.973298,15.37679,112.983892,80.233985,2,,2,3,1,2,72,2,,1,98.711887,1
6e32db20,3/25/1603 4:13 AM,6/21/1608 11:52 AM,2,15.46026,7.434185,18.379269,95.434094,13.449091,2,3,3,2,1,2,153,3,2,1,17.443489,1
6e32db25,9/25/1604 6:30 AM,8/28/1608 8:11 PM,,15.849066,15.696596,103.469976,186.803229,78.881186,1,4,3,3,1,,144,3,3,1,26.586301,1
6e32db4f,7/23/1602 12:30 PM,7/3/1608 9:22 PM,2,47.874459,0.672768,,123.965509,38.988267,2,2,3,4,1,2,159,2,,1,11.511937,1
6e32dbb8,8/24/1602 3:23 AM,8/1/1610 9:26 PM,2,49.615816,123.454633,25.094486,244.284057,52.705442,2,2,2,4,1,1,37,2,2,,133.739395,1
6e32dbf1,3/15/1605 12:15 PM,3/10/1608 8:16 PM,2,,,92.935618,11.029339,72.913419,2,2,4,4,1,2,74,3,3,1,,1
6e32dc24,5/27/1604 1:24 PM,6/2/1612 9:48 PM,2,44.823274,5.404916,23.778922,30.281424,5.730475,2,4,,3,1,2,155,2,,1,15.712186,1
6e32dcf6,9/16/1605 6:17 AM,11/11/1610 11:35 PM,,88.964305,28.174055,84.080113,22.450239,17.860344,2,,4,3,1,2,132,2,,1,39.068399,1
6e32dd65,9/10/1603 3:50 AM,6/27/1610 11:57 PM,2,27.201874,87.170081,21.704714,139.502086,56.897865,2,4,3,2,1,1,73,2,2,,97.790997,1
6e32dda9,11/24/1603 2:40 PM,10/1/1609 2:36 AM,2,26.687994,,32.268293,11.903833,15.684359,2,3,2,4,1,2,74,2,2,1,,1
6e32dde0,1/4/1601 11:25 PM,12/1/1608 10:57 AM,2,24.16349,37.969223,,39.814316,0.217141,2,2,4,4,1,1,122,2,,2,48.636099,1
