House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32cedd,6/25/1601 9:41 AM,11/1/1607 9:54 AM,2,60.265361,2.809867,23.701329,89.658984,36.93498,,3,3,3,1,2,157,2,4,1,13.188134,2
6e32cf10,8/1/1600 3:39 AM,9/11/1609 1:36 PM,2,31.038516,0.531688,115.459079,117.597482,53.012429,2,3,4,3,1,2,159,2,3,1,11.402158,2
6e32cf3b,7/18/1601 4:23 AM,11/26/1611 11:21 PM,2,,31.803728,76.911213,67.482017,27.337864,2,3,2,4,1,2,128,2,,1,42.522518,2
6e32cf5f,5/5/1603 2:43 PM,10/18/1608 6:32 PM,2,8.938509,98.652182,70.194408,84.156413,60.819794,1,2,3,3,1,2,61,3,4,1,109.422107,2
6e32cfb1,3/4/1604 8:27 AM,3/6/1609 8:21 AM,2,34.600947,35.698995,110.500053,86.664647,41.447449,2,3,4,4,1,2,124,2,5,,46.459145,2
6e32cfe7,6/22/1600 9:12 PM,2/23/1608 3:52 AM,,60.881088,11.632695,44.475839,107.611778,15.773875,2,4,3,2,1,1,148,2,2,1,21.737822,2
6e32d039,1/18/1602 6:11 AM,11/15/1607 12:34 PM,2,47.13049,43.935515,89.749169,28.556451,17.897503,2,,2,,1,2,116,3,3,1,54.744624,2
6e32d045,8/25/1605 5:12 PM,7/26/1612 10:57 AM,,19.038547,7.477386,19.373641,2.866873,11.659058,2,4,4,4,1,2,153,3,2,1,18.086383,2
6e32d077,1/26/1605 5:37 PM,4/22/1609 4:16 PM,,,35.647738,19.902401,114.893095,38.737328,2,2,4,3,1,2,124,2,2,1,45.940609,2
6e32d13d,8/7/1602 10:50 PM,6/16/1607 7:16 AM,,83.517921,6.863928,13.897538,131.76667,2.619332,2,,4,3,1,2,153,2,,,17.387906,2
6e32d161,12/24/1605 7:27 PM,7/15/1610 9:37 AM,2,,65.875884,85.489871,49.689128,22.195462,2,,4,3,1,2,94,2,5,1,76.466126,2
6e32d18d,6/17/1606 8:37 AM,7/10/1607 12:23 PM,,30.657214,1.643812,119.420102,96.649617,22.981325,1,3,4,3,1,2,158,2,2,1,12.330814,2
6e32d1d5,1/8/1606 6:44 PM,12/13/1611 6:12 PM,2,26.104943,,2.575876,18.766428,76.298811,,2,4,2,1,2,74,2,2,1,,2
6e32d1e0,11/27/1602 8:10 PM,8/2/1607 11:29 PM,2,,57.353584,,58.665483,0.667264,,3,2,3,1,2,103,2,3,1,68.131393,2
6e32d1fd,10/7/1601 10:12 PM,7/13/1612 5:59 PM,1,17.563821,69.249311,100.313341,,31.769246,2,2,4,2,2,2,91,1,2,,80.172451,2
6e32d207,1/10/1605 6:21 AM,4/6/1611 2:12 PM,2,,34.6664,68.363893,108.305396,25.9503,1,3,2,4,1,2,125,2,5,1,44.995658,2
6e32d211,1/14/1604 7:21 PM,9/15/1611 11:18 AM,2,15.833888,38.20836,41.829857,210.050564,49.232799,,2,2,3,1,1,122,3,3,,49.072971,2
6e32d2c8,6/23/1600 12:33 PM,7/18/1612 9:10 PM,2,7.466832,79.229707,54.590919,113.694189,46.790226,2,2,4,3,1,2,81,3,2,1,89.90548,2
6e32d2fe,10/8/1604 11:21 AM,1/24/1612 6:43 PM,2,61.786126,92.328169,42.223186,76.025657,15.19046,2,2,3,2,1,1,68,2,2,,103.292617,2
6e32d332,11/16/1606 12:39 PM,7/4/1610 8:13 AM,2,48.045744,15.739833,28.893013,26.285377,31.671128,2,2,4,,1,2,144,2,4,1,26.496121,2
6e32d376,8/21/1600 7:20 PM,2/22/1607 3:20 AM,2,40.772276,10.174776,50.55027,73.242354,33.531993,2,2,3,3,1,2,150,2,2,1,20.422493,2
6e32d3c9,9/19/1603 4:44 PM,6/27/1608 8:10 AM,2,39.141937,129.421153,15.147982,163.73999,1.407018,2,4,2,2,1,2,31,2,,1,140.252728,2
6e32d3fb,12/12/1600 9:15 PM,10/12/1611 12:33 PM,2,57.318475,28.699573,16.876722,131.582671,51.998004,1,,2,,1,2,131,2,3,1,39.281787,2
6e32d474,4/28/1601 10:19 AM,7/25/1612 10:40 PM,2,3.237094,18.661152,145.457085,163.725587,6.58766,2,4,,4,1,2,141,2,2,1,29.610072,2
6e32d477,7/24/1601 7:17 PM,2/20/1608 1:26 PM,2,14.346505,35.724825,59.633802,32.082613,26.855483,2,4,4,3,1,2,124,2,2,1,46.586581,2
6e32d49c,9/8/1606 7:20 AM,8/27/1608 4:23 AM,1,40.234596,0.806277,14.665796,100.048454,24.328585,2,2,3,4,2,2,159,1,4,1,11.687378,2
6e32d4c8,1/25/1605 10:27 PM,2/13/1612 12:17 AM,2,56.297684,0.853084,36.550845,250.374071,20.634547,2,,2,3,1,1,159,2,2,2,11.826194,2
6e32d504,2/7/1606 8:23 PM,5/26/1607 9:36 PM,2,88.729681,33.568867,,238.78498,67.912199,2,4,3,3,1,2,126,2,2,,43.922263,2
6e32d569,5/4/1605 5:23 AM,10/11/1608 4:27 PM,2,64.794248,11.949146,93.815204,21.250525,34.055282,2,3,3,3,1,2,148,3,3,1,22.08082,2
6e32d5ca,6/4/1600 10:30 AM,5/19/1607 4:35 AM,2,10.900739,22.77626,118.663254,92.781426,23.104408,1,3,4,,1,2,137,2,2,1,32.783459,2
6e32d609,7/19/1606 2:52 AM,5/2/1609 5:39 AM,,93.891329,5.845102,5.47368,53.713146,74.522849,2,4,2,2,1,2,154,2,4,1,16.35627,2
6e32d62f,11/13/1601 3:33 AM,6/19/1610 5:31 PM,,7.101262,31.990592,8.418122,15.635794,4.225293,2,3,2,3,1,2,128,2,,1,42.860243,2
6e32d64d,10/26/1604 7:25 PM,9/1/1611 4:27 PM,2,18.639741,33.795767,87.358032,113.676941,83.999186,2,2,2,4,1,2,126,2,2,1,44.61669,2
6e32d664,4/4/1605 2:38 PM,4/26/1612 3:36 AM,2,,4.668065,,163.677899,63.823934,2,4,4,,1,2,155,2,2,1,14.698138,2
6e32d6d9,7/26/1605 5:30 AM,5/2/1608 5:21 PM,2,25.512387,61.400421,4.009792,138.932893,14.606909,2,3,2,4,1,2,99,2,,1,72.386396,2
6e32d6fd,11/16/1604 3:30 AM,11/18/1611 1:45 AM,2,8.285025,20.816238,,219.343052,54.671642,2,2,4,4,1,2,139,2,2,1,31.573924,2
6e32d7a6,2/23/1600 1:36 AM,12/10/1611 3:27 PM,2,122.536188,13.928449,133.994332,,28.166337,2,3,2,2,1,2,146,2,2,1,24.099659,2
6e32d7da,4/4/1603 12:46 PM,8/28/1611 10:50 PM,1,,39.863029,72.639306,69.151973,23.755193,1,2,3,3,2,1,120,1,3,2,50.629583,2
6e32d85c,9/4/1601 3:39 AM,7/2/1612 4:58 PM,2,97.636888,7.984132,80.725652,201.684795,14.938343,2,,4,2,1,2,152,2,5,,18.844712,2
6e32d8c5,10/27/1604 5:21 AM,10/26/1610 8:38 AM,2,50.289977,12.825707,,150.242273,57.828748,2,,3,3,1,1,147,2,2,2,23.231346,2
6e32d8e3,4/15/1603 1:29 AM,6/5/1612 4:12 AM,2,125.594,22.338723,15.3765,103.356222,32.752225,2,2,4,3,1,2,138,2,3,1,33.307402,2
6e32d901,9/16/1602 1:18 AM,7/6/1611 3:40 PM,2,26.718399,65.798053,73.884943,69.846597,83.639957,2,4,3,4,1,2,94,2,2,1,76.181856,2
