House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32ced1,1/5/1603 2:46 AM,10/8/1610 5:18 AM,2,101.541256,0.519507,3.605055,81.449646,35.706541,2,3,2,2,1,2,159,3,2,1,10.85578,4
6e32ced3,1/25/1603 6:38 PM,1/12/1612 11:28 AM,2,48.601612,7.575922,32.236989,47.180399,72.111768,2,,2,4,1,2,152,2,5,1,18.378692,4
6e32cefe,3/4/1602 9:37 PM,5/1/1612 12:30 PM,2,43.15605,66.593962,16.472091,62.472761,42.888742,1,3,3,4,1,2,93,2,2,1,77.473677,4
6e32cf07,7/12/1606 10:47 AM,10/15/1612 8:42 AM,2,,20.748392,70.848219,69.096122,16.919434,2,4,4,4,1,2,139,2,5,,31.432421,4
6e32cf13,10/18/1605 7:53 AM,12/23/1608 5:50 AM,2,85.472652,70.864401,13.310768,21.514952,3.079892,1,2,2,2,1,,89,2,4,1,81.862921,4
6e32cf17,8/17/1603 12:33 AM,8/15/1610 4:24 PM,,18.69285,1.034696,68.243586,,55.267216,2,3,2,3,1,2,159,2,3,,11.447193,4
6e32cf2a,8/24/1606 1:33 PM,12/3/1607 7:51 AM,2,27.395888,16.519207,21.911712,36.647534,10.327582,,3,4,4,1,2,143,2,,1,26.808392,4
6e32cf2f,11/1/1606 8:32 PM,2/13/1608 11:34 PM,1,83.884547,60.315918,74.440462,14.186489,3.659866,1,3,4,4,2,2,100,1,2,1,70.653917,4
6e32cf32,10/25/1600 1:44 AM,8/2/1607 10:14 PM,2,14.335892,125.909425,13.760539,14.041083,14.833137,2,4,4,3,1,1,34,2,3,2,136.481039,4
6e32cf37,12/27/1603 10:29 PM,10/27/1609 3:57 AM,2,26.56988,8.87772,132.820614,78.734685,35.378385,2,3,2,4,1,2,151,2,2,1,19.658196,4
6e32cf3d,7/6/1600 9:18 AM,3/4/1608 12:45 PM,2,31.795669,3.694051,45.184515,215.291212,7.53747,2,3,2,4,1,2,156,2,2,1,13.72868,4
6e32cf3f,12/10/1606 10:54 PM,12/12/1607 6:12 PM,2,46.037313,87.711658,48.592949,206.456805,67.690842,2,2,2,4,1,2,72,2,2,1,97.72198,4
6e32cf45,2/17/1601 12:43 AM,5/6/1609 3:10 PM,2,6.664954,6.412423,61.399993,118.533229,8.780965,2,3,3,4,1,2,154,2,2,1,16.99148,4
6e32cf47,12/14/1604 3:29 AM,5/6/1611 4:40 AM,,12.540865,27.528001,132.196721,102.179942,41.822487,2,2,2,3,1,2,132,3,3,1,37.882273,4
6e32cf51,3/4/1602 4:31 AM,11/18/1608 2:37 AM,2,,26.532328,12.94138,27.03828,27.094843,2,3,3,4,1,2,133,2,4,1,36.682973,4
