House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32cece,2/10/1603 8:51 PM,6/5/1611 11:44 PM,2,79.72455,19.885265,92.698917,22.395136,8.059939,2,2,2,2,1,2,140,2,2,,29.921162,5
6e32cf20,2/26/1600 3:13 PM,3/10/1610 2:23 PM,2,145.034612,25.106037,141.942752,24.82466,21.44816,2,4,3,4,1,2,135,2,2,1,36.084848,5
6e32cf76,9/19/1606 11:55 PM,7/26/1608 5:17 AM,2,54.645921,87.174747,16.476015,59.149911,2.980832,2,2,2,3,1,1,73,2,3,2,98.032248,5
6e32cf7c,9/10/1602 1:18 AM,10/10/1612 2:47 PM,2,151.105728,111.965941,99.671185,72.036244,9.879558,2,3,2,2,1,2,48,2,4,1,122.889439,5
6e32cf80,3/15/1605 11:16 PM,1/19/1612 7:39 AM,2,11.666815,27.953048,50.869864,7.977065,13.758185,2,3,4,3,1,2,132,2,2,,38.774105,5
6e32cfa3,12/28/1604 9:11 AM,10/25/1612 11:27 AM,2,62.104754,107.687755,56.15136,122.390194,77.656929,,3,4,3,1,,52,2,2,1,118.003414,5
6e32cfb9,1/13/1600 12:32 AM,10/2/1610 1:23 PM,2,26.174476,4.460661,12.904976,123.568064,43.261003,2,3,3,2,1,2,156,3,2,1,15.207348,5
6e32d01c,11/1/1606 6:22 AM,11/13/1607 5:56 PM,2,29.348649,33.914079,26.547489,129.504031,21.44157,2,3,2,4,1,2,126,2,2,1,44.651891,5
6e32d026,1/8/1600 1:38 PM,11/15/1610 2:28 AM,2,21.926644,113.152269,72.557943,31.530238,17.352285,2,3,3,4,1,2,47,3,,1,123.253774,5
6e32d043,9/6/1603 4:33 AM,7/9/1610 1:41 AM,2,107.670121,25.960131,87.189539,135.664742,12.397643,,3,2,4,1,2,134,2,3,1,36.170315,5
6e32d096,11/6/1602 4:29 AM,8/17/1611 2:47 AM,2,82.550344,23.907579,,246.816762,3.803399,1,2,4,4,1,2,136,2,2,1,33.962491,5
6e32d0c3,5/14/1605 1:19 PM,1/28/1612 9:29 AM,,28.557636,13.557405,72.853128,59.226068,30.014551,2,4,3,4,1,2,146,2,2,1,23.662876,5
6e32d1ec,1/15/1606 9:18 PM,10/9/1612 8:13 PM,2,13.697252,0.389612,76.262283,183.52295,4.954523,1,2,4,3,1,1,160,2,2,2,10.676787,5
6e32d1f2,5/9/1602 4:46 PM,4/15/1610 6:12 PM,2,103.353914,76.420865,49.1912,162.873972,10.086489,1,4,,4,1,2,84,3,5,1,87.409035,5
6e32d203,7/12/1605 3:25 PM,3/13/1609 3:16 PM,2,68.868538,64.946656,46.298638,175.446603,5.396174,2,,2,,1,2,95,2,2,1,75.636355,5
6e32d2ab,6/6/1606 11:49 PM,1/10/1612 8:11 PM,2,57.990603,1.748233,7.497163,19.886156,23.781114,2,4,3,4,1,1,158,2,2,,12.124227,5
6e32d36c,5/2/1600 9:51 PM,6/7/1611 7:52 AM,2,40.569581,7.446769,,67.24679,33.913126,2,2,4,2,1,2,153,2,4,1,18.359321,5
6e32d38b,11/16/1606 3:27 AM,1/12/1607 11:30 PM,2,3.97071,1.989168,31.003335,8.429662,16.600953,2,4,3,3,1,,158,2,,1,12.589566,5
6e32d421,5/24/1603 10:45 AM,8/18/1611 9:20 AM,2,19.750074,66.191359,67.070563,22.343751,22.157901,1,3,3,4,1,1,94,3,,2,76.721818,5
6e32d42d,10/11/1605 1:54 AM,4/6/1607 5:52 PM,2,42.957437,6.77252,71.961814,86.041208,20.046498,2,3,4,4,1,2,153,3,2,,17.056877,5
6e32d449,9/5/1604 9:29 PM,12/6/1610 12:38 PM,2,51.623169,,49.784776,60.636172,73.076954,2,2,2,4,1,2,74,2,2,,,5
6e32d44b,4/21/1602 6:18 PM,5/2/1612 2:17 AM,2,41.154721,4.240613,0.056192,86.768838,59.176882,2,3,2,4,1,1,156,2,2,2,15.039813,5
6e32d4e1,11/21/1600 6:14 AM,4/12/1609 12:41 PM,2,71.336772,41.317943,33.478997,178.927552,51.335656,2,4,4,3,1,2,119,3,2,1,51.497693,5
6e32d4f0,7/23/1605 6:49 AM,7/4/1612 1:14 AM,2,35.769082,65.309158,30.275938,221.298896,38.675315,2,4,4,3,1,2,95,2,2,1,75.960018,5
6e32d54b,8/10/1606 2:14 PM,8/27/1607 7:29 PM,2,79.188128,61.702067,11.32475,141.712522,34.670542,2,4,3,4,1,2,98,3,2,1,72.539696,5
6e32d58d,2/14/1600 12:38 AM,2/11/1608 7:41 AM,2,46.85159,32.879055,,283.147522,22.538109,2,2,4,4,1,2,127,2,2,1,42.961426,5
6e32d592,5/17/1603 9:19 AM,12/20/1607 11:23 AM,2,4.325021,66.730939,18.32928,239.111354,40.574407,1,3,3,3,1,2,93,2,2,1,76.922163,5
6e32d606,11/19/1606 8:57 PM,2/14/1612 12:56 AM,2,,,,55.626511,28.201212,2,2,4,3,1,1,74,3,2,2,,5
6e32d6b3,4/27/1600 9:33 PM,6/16/1607 3:48 PM,2,60.041665,30.282241,19.718421,168.159665,16.411476,1,4,4,3,1,2,130,2,3,1,40.467183,5
6e32d737,9/5/1601 10:17 PM,9/23/1610 6:35 PM,2,43.784867,17.902866,,133.399496,40.842328,1,,2,3,1,2,142,2,4,1,28.529637,5
6e32d796,5/4/1604 3:12 PM,1/28/1610 8:30 AM,2,24.135703,26.331445,80.134874,98.460481,63.64297,2,4,4,4,1,2,134,2,3,1,37.191966,5
6e32d7bb,2/23/1606 11:34 AM,8/4/1608 6:43 PM,1,,37.824891,49.004623,121.164161,1.634429,2,2,3,3,2,2,122,1,3,1,48.817951,5
6e32d7d4,8/13/1601 3:58 AM,5/18/1611 5:42 AM,2,79.460174,73.420637,16.007932,125.782124,42.514322,2,2,4,2,1,1,87,2,3,2,83.584329,5
6e32d7d7,11/18/1601 6:26 PM,8/3/1608 12:13 AM,2,93.789476,,27.228916,96.961249,19.106745,2,3,3,4,1,2,74,2,5,1,,5
6e32d801,6/9/1603 12:18 AM,10/21/1607 7:49 PM,2,,68.106277,6.281158,157.214331,1.30566,2,2,3,2,1,,92,3,2,1,78.678838,5
6e32d87b,10/14/1601 4:59 AM,2/3/1607 5:17 PM,2,6.732315,43.141044,58.389994,103.910529,65.566391,1,4,3,4,1,2,117,3,2,1,54.014333,5
6e32d883,5/6/1606 3:32 AM,2/25/1608 11:37 PM,2,,102.687432,,102.336475,45.915359,1,3,4,3,1,,57,3,5,1,112.785726,5
6e32d893,8/27/1606 12:52 PM,2/25/1609 1:41 AM,1,76.110557,136.09652,,58.350817,69.859417,2,4,2,4,2,2,24,1,2,,146.553567,5
6e32d8a3,12/14/1606 1:21 AM,10/15/1610 10:24 PM,2,45.033933,36.762566,22.115577,64.579928,32.737418,1,4,2,4,1,2,123,3,,,47.052446,5
6e32d8b6,4/9/1603 12:41 AM,5/25/1611 9:19 AM,1,19.041536,35.499768,5.779047,203.139171,81.531191,2,3,3,,2,2,125,1,5,1,45.543414,5
6e32d8d7,3/11/1606 2:39 PM,2/3/1610 2:40 AM,2,36.87605,0.59323,62.553356,70.516792,16.944653,2,4,3,4,1,2,159,2,2,1,10.877002,5
6e32d8d9,7/1/1606 6:34 PM,8/26/1608 4:33 PM,2,93.408414,44.10633,63.911395,74.43211,47.713764,2,2,3,,1,2,116,2,2,,54.718721,5
6e32d8f7,10/13/1604 9:45 AM,7/12/1607 5:58 AM,2,18.82097,7.8924,,31.617604,4.305256,2,,2,4,1,2,152,2,2,1,18.404753,5
6e32d943,2/16/1602 9:53 PM,6/21/1611 4:20 AM,2,71.906704,,50.373518,246.072701,43.102882,2,,3,4,1,1,74,3,2,2,,5
6e32d96b,8/12/1602 11:44 AM,11/9/1608 10:34 AM,,79.774872,,69.587299,193.202824,53.800283,2,2,3,4,1,2,74,2,,1,,5
6e32d9ce,12/20/1606 8:51 AM,5/17/1607 12:34 AM,2,6.978297,71.862957,17.769546,101.596351,53.54491,1,3,3,3,1,2,88,2,3,1,82.445956,5
6e32da31,1/7/1605 7:22 AM,4/4/1607 12:34 PM,2,15.696661,,58.31123,234.063192,36.910947,2,3,3,2,1,2,74,3,2,1,,5
6e32da82,3/1/1600 12:40 AM,3/11/1612 4:37 PM,2,29.374406,,6.747294,141.416889,17.243022,,4,2,,1,2,74,2,5,1,,5
6e32daaa,9/25/1600 6:50 AM,9/11/1612 4:27 PM,1,126.875824,44.954367,40.29187,124.487636,14.135243,2,2,4,2,2,2,115,1,3,1,55.131704,5
6e32dab3,4/28/1605 2:55 PM,2/11/1608 5:55 PM,2,,6.222194,54.605786,157.652878,30.778788,1,4,2,3,1,2,154,2,2,1,16.810948,5
6e32db00,6/6/1605 9:15 PM,12/4/1607 6:23 AM,2,49.174141,40.910814,49.482409,73.33682,52.53803,1,2,4,3,1,,119,2,2,1,51.798331,5
6e32db53,7/14/1600 3:59 PM,10/13/1608 12:20 AM,1,13.33793,8.076949,70.833074,168.262226,45.141874,2,,3,4,2,2,152,1,5,1,19.064388,5
6e32db8a,5/17/1603 4:44 AM,4/23/1612 12:15 AM,2,38.989936,45.83205,44.684362,139.569641,31.138283,1,2,3,2,1,2,114,2,5,1,55.889808,5
6e32dbc9,11/26/1600 12:45 PM,11/22/1610 12:36 PM,2,,38.911686,38.425946,86.301007,7.103462,1,4,2,3,1,2,121,2,4,1,49.643033,5
6e32dbd2,9/24/1604 2:46 PM,6/12/1607 3:53 AM,2,34.221521,118.111138,74.407099,74.798373,16.96818,1,,4,4,1,2,42,2,2,1,128.503475,5
6e32dbdb,10/25/1600 6:19 PM,9/17/1612 8:37 PM,2,5.404681,3.530403,25.239132,36.33892,41.724464,2,3,4,2,1,2,156,2,2,1,14.205244,5
6e32dc1b,7/15/1602 5:20 PM,3/25/1610 1:56 PM,2,6.468029,8.607563,10.157321,102.332582,40.446404,2,4,3,2,1,2,151,2,3,1,19.179033,5
6e32dc39,4/22/1605 5:57 AM,6/8/1607 4:39 PM,2,20.607002,36.74873,78.618631,88.320275,12.936897,2,4,2,4,1,2,123,2,,1,47.611989,5
6e32dc5f,8/21/1602 5:35 AM,12/7/1607 4:55 AM,,30.206781,55.473601,13.511064,30.386107,7.652573,2,4,,3,1,,105,2,4,1,65.572406,5
6e32dca0,6/17/1603 10:14 PM,7/8/1607 8:12 AM,2,0.044292,42.235458,2.191601,170.29238,65.206447,2,2,2,2,1,1,118,2,4,2,52.563635,5
6e32dd24,1/5/1602 6:20 AM,5/2/1609 6:36 PM,2,61.14107,17.668339,47.10419,84.77737,30.940255,2,2,3,,1,1,142,2,,2,27.836484,5
6e32dd8c,11/26/1605 1:14 PM,12/28/1607 6:54 AM,2,0.059843,51.239734,8.280413,135.159954,1.2455,2,3,3,4,1,2,109,2,2,1,61.433785,5
6e32ddd9,5/14/1606 8:43 PM,11/24/1608 4:58 PM,2,22.432723,101.48383,34.424097,94.727236,43.452145,2,4,2,4,1,2,59,2,2,,111.604681,5
6e32de38,8/21/1606 10:29 PM,8/25/1610 5:36 PM,2,54.340369,31.515889,38.565782,64.787273,2.831798,2,4,2,2,1,2,128,2,3,1,41.728049,5
