House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32cf4b,5/14/1600 10:15 PM,2/15/1609 7:17 PM,2,26.910972,5.051018,95.267946,124.213778,42.63296,2,3,3,4,1,1,155,2,4,,15.775998,6
6e32cf63,3/23/1605 3:37 PM,10/27/1608 5:54 PM,2,3.246707,98.765114,150.032514,205.231808,6.41729,2,3,3,,1,2,61,3,2,1,109.293587,6
6e32cfff,11/24/1605 11:39 AM,3/3/1612 11:41 PM,2,55.194201,106.867728,112.204225,7.331488,13.643248,2,,4,2,1,2,53,2,3,1,117.688478,6
6e32d020,8/19/1606 7:24 AM,10/20/1612 2:30 AM,2,116.232545,,135.95518,96.90175,75.913338,2,3,4,2,1,2,74,3,4,1,,6
6e32d0af,8/20/1603 5:14 PM,12/3/1607 10:58 PM,2,110.908864,33.477492,48.564874,126.313421,45.312225,2,2,2,4,1,1,127,2,2,2,44.072108,6
6e32d10f,10/26/1605 2:49 PM,9/24/1608 6:34 PM,2,51.148075,16.326244,109.613235,123.868738,11.439484,2,,2,2,1,2,144,2,,1,26.442191,6
6e32d137,11/21/1602 7:37 PM,6/1/1608 11:12 PM,2,7.461255,58.07243,11.289543,5.271383,25.666285,2,4,2,4,1,2,102,2,2,,68.598329,6
6e32d13a,6/8/1602 1:54 PM,5/16/1609 2:12 AM,2,50.214778,17.829403,60.338369,18.143537,24.141732,2,2,2,4,1,2,142,2,5,1,27.913094,6
6e32d181,11/12/1605 5:13 PM,2/10/1607 2:38 AM,1,36.595197,103.053243,76.125837,237.894909,66.241648,1,2,4,4,2,2,57,1,2,1,113.859546,6
6e32d228,12/5/1603 10:50 AM,8/6/1607 5:47 PM,2,,114.194064,133.570557,208.192054,53.074457,,3,4,3,1,2,46,2,2,1,124.624814,6
6e32d230,7/4/1605 11:29 AM,4/27/1608 4:53 AM,1,106.853579,41.309625,41.388391,108.887623,18.756287,2,4,4,2,2,2,119,1,3,1,52.279563,6
6e32d26f,7/10/1600 11:47 PM,8/8/1611 2:58 AM,2,,21.937248,42.865579,21.490532,2.71755,1,3,2,2,1,1,138,3,2,,32.912788,6
6e32d293,7/12/1602 8:59 PM,5/11/1612 6:29 AM,,24.637051,78.196206,11.672968,255.88076,52.689577,,3,3,4,1,2,82,3,2,1,88.830586,6
6e32d369,2/7/1605 9:19 PM,7/16/1607 10:50 PM,2,117.483152,17.131191,30.997456,44.246945,53.860771,2,2,2,3,1,2,143,2,2,1,27.573613,6
