House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32cf35,8/3/1602 8:19 AM,5/24/1607 4:46 PM,2,,14.771254,47.208782,143.697581,57.998381,2,,4,4,1,2,145,2,2,1,25.249336,7
6e32cf57,9/7/1605 12:12 PM,1/28/1610 2:53 PM,2,24.658268,15.220463,81.003364,234.799022,20.10387,2,4,4,3,1,1,145,3,2,2,25.854943,7
6e32cf5b,9/13/1603 1:47 PM,8/12/1610 7:29 PM,1,1.122904,12.733926,18.667091,50.964912,4.094995,,2,,3,2,2,147,1,2,,23.563624,7
6e32cfc0,12/2/1603 3:31 AM,5/19/1610 6:12 PM,2,3.532019,49.64613,33.39117,74.198027,18.551798,2,,4,3,1,2,110,3,2,1,60.196272,7
6e32cfc5,2/1/1600 11:14 AM,7/27/1611 7:35 PM,2,20.203496,99.86107,59.873769,190.421617,1.672798,1,2,3,4,1,2,60,2,2,1,110.478163,7
6e32cfee,10/24/1605 7:37 PM,3/5/1611 12:59 AM,2,20.487808,,29.498543,98.529817,51.114954,2,3,2,3,1,2,74,2,5,1,,7
6e32d030,11/18/1606 4:50 AM,2/19/1607 12:29 AM,1,44.74755,112.540505,33.67063,90.308479,3.353507,2,4,2,2,2,,47,1,5,1,122.855294,7
6e32d081,8/13/1604 8:26 AM,9/25/1607 9:13 PM,2,35.76766,75.617038,6.54546,11.762571,8.325646,2,,2,,1,1,84,3,3,,85.737595,7
6e32d088,1/22/1603 1:17 PM,10/9/1611 11:12 PM,2,3.919419,10.127855,1.944099,95.8239,0.297842,2,3,4,3,1,2,150,3,2,1,21.102148,7
6e32d0e1,5/25/1605 4:39 PM,10/3/1609 11:35 PM,2,75.182362,80.598167,43.631966,82.331429,20.256665,2,2,2,4,1,2,79,2,2,1,91.370785,7
6e32d101,5/14/1606 4:16 AM,10/5/1612 9:53 PM,2,81.893052,7.778529,10.544569,3.492928,24.076,2,4,3,2,1,2,152,2,3,1,18.529869,7
6e32d11c,7/14/1601 6:15 AM,7/23/1611 11:38 AM,2,5.594051,68.863036,92.389066,218.603621,47.287553,,4,2,4,1,2,91,2,5,1,78.942088,7
6e32d149,2/24/1602 12:29 PM,10/4/1607 7:45 PM,2,5.074924,111.004839,60.293557,150.27444,45.820457,2,,3,2,1,2,49,2,2,1,121.270083,7
6e32d1a0,3/12/1601 3:35 AM,2/6/1612 10:56 PM,2,29.549156,35.580639,48.187651,73.680468,69.740814,2,3,3,2,1,2,124,2,3,1,45.931375,7
6e32d1b3,2/27/1600 6:56 PM,1/20/1610 10:49 PM,1,134.790575,38.687027,84.092876,47.104734,59.806036,2,4,2,4,2,2,121,1,,1,48.827613,7
6e32d262,2/8/1600 8:44 PM,5/20/1609 6:33 PM,2,63.286578,79.597544,28.506829,33.590181,52.613542,2,4,3,2,1,1,80,3,2,2,90.34839,7
6e32d306,10/9/1602 1:31 AM,4/15/1612 4:28 AM,2,68.280382,91.01726,126.191279,277.97015,9.596804,2,2,3,4,1,2,69,2,4,1,101.967563,7
6e32d35a,11/23/1604 1:58 PM,5/16/1609 1:31 PM,2,56.327698,4.498642,112.967905,167.450747,34.305844,2,3,4,2,1,1,156,3,3,2,15.37254,7
6e32d3b6,8/15/1605 1:35 PM,10/22/1607 1:17 PM,2,34.414876,38.213276,,296.342437,18.474502,2,3,3,2,1,2,122,2,3,1,48.32586,7
6e32d3e2,12/7/1605 12:57 AM,3/22/1607 9:15 AM,2,,65.782432,85.993573,138.281779,67.132266,2,3,,3,1,2,94,2,2,1,75.992802,7
6e32d3ff,1/3/1601 1:59 PM,10/9/1608 10:48 AM,2,48.446372,0.999357,27.201308,66.803784,34.646532,2,3,4,3,1,2,159,2,5,1,11.598298,7
6e32d441,5/13/1602 3:39 AM,8/11/1608 5:28 PM,2,37.011257,36.513413,20.312751,,17.513959,1,3,,4,1,2,123,2,4,,46.515382,7
6e32d486,9/10/1602 10:58 AM,8/18/1607 5:47 PM,2,102.661126,88.327066,46.225489,10.479103,1.675745,2,2,3,4,1,2,72,2,2,1,99.246532,7
6e32d490,2/15/1603 1:41 PM,4/5/1610 8:34 AM,2,20.51413,18.544686,11.037641,131.223693,34.832095,2,,,4,1,2,141,2,,1,28.754393,7
6e32d4aa,9/21/1605 2:50 PM,1/20/1610 7:58 AM,1,30.507504,20.731993,10.421607,218.841758,4.161917,2,2,2,3,2,2,139,1,5,,31.511517,7
6e32d53b,12/6/1605 7:41 AM,4/21/1612 12:44 AM,2,46.924381,,71.596491,110.794245,9.573808,2,4,2,4,1,2,74,3,3,1,,7
6e32d5ac,11/12/1600 8:32 PM,11/24/1612 11:22 AM,,12.516147,,13.475097,,4.283313,2,,3,4,1,2,74,2,2,1,,7
