House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32cec4,8/23/1600 12:25 AM,5/2/1612 10:32 PM,1,16.254871,26.882222,34.145238,101.052598,53.249336,2,2,4,,2,2,133,1,2,,37.249456,9
6e32cedf,9/7/1601 12:14 AM,10/1/1609 8:39 AM,2,11.938817,2.738666,5.58977,12.033816,17.666228,1,3,2,2,1,2,157,2,4,,13.151035,9
6e32cef9,4/15/1601 1:40 PM,5/10/1611 9:49 PM,2,35.488288,68.371189,44.62349,20.89483,37.27244,2,,4,2,1,1,92,2,3,2,78.519339,9
6e32cf01,2/27/1603 6:55 PM,3/9/1607 2:12 AM,2,81.58993,52.209955,2.228096,125.088833,10.558469,1,4,2,2,1,2,108,2,,1,62.646237,9
6e32cfca,10/20/1600 6:40 AM,7/24/1607 6:37 AM,1,4.102159,24.909507,38.478102,145.198089,55.022168,2,,4,4,2,2,135,1,5,,35.117409,9
6e32cfcf,11/18/1600 4:45 AM,12/7/1609 7:46 AM,2,54.397619,34.328906,15.621175,43.039403,13.210756,2,3,4,3,1,2,126,2,2,,44.565672,9
6e32d00c,1/13/1601 7:32 AM,2/14/1609 10:58 PM,2,28.194885,8.090356,57.049838,121.737656,10.72477,2,3,2,2,1,1,152,2,2,2,18.568358,9
6e32d064,6/5/1600 12:37 PM,2/6/1608 8:49 AM,2,47.443566,145.773817,20.186212,122.99707,17.225251,2,2,2,3,1,2,14,3,2,,156.081031,9
6e32d07c,7/21/1603 8:28 AM,3/3/1608 7:48 AM,2,55.642861,92.817319,1.64982,5.893055,17.413551,2,,3,3,1,2,67,2,4,1,103.239226,9
6e32d0c7,6/22/1604 10:13 PM,10/1/1607 5:58 PM,2,17.820094,10.760071,10.996215,45.620881,76.960407,1,3,3,3,1,2,149,3,3,,21.113511,9
6e32d114,2/13/1603 7:30 PM,12/18/1608 2:45 PM,2,44.591963,21.443521,61.351007,18.89276,6.320174,2,4,2,4,1,2,139,3,,,31.797166,9
6e32d143,3/23/1600 1:35 AM,1/26/1610 7:54 AM,2,60.789297,33.649516,6.306768,86.45729,8.582878,2,3,3,4,1,2,126,3,2,1,43.752244,9
6e32d15f,6/6/1605 11:18 PM,8/6/1612 12:58 AM,2,65.907731,41.135305,11.430571,45.025304,36.723978,2,2,3,,1,1,119,2,,2,52.03537,9
6e32d1b0,10/4/1606 3:32 PM,6/3/1612 6:20 PM,2,76.351975,11.637982,4.893752,142.157438,68.674643,2,3,3,3,1,2,148,2,2,1,22.197212,9
6e32d1b9,1/5/1602 2:11 PM,2/22/1607 7:53 AM,,41.217143,25.291758,105.639904,194.571959,61.092572,,4,4,3,1,2,135,2,5,1,36.154993,9
6e32d1d0,2/6/1606 6:15 AM,6/5/1612 11:23 PM,2,0.596625,66.276391,54.010653,24.849645,67.729006,2,2,2,3,1,2,94,2,4,1,77.148306,9
6e32d249,5/18/1604 4:38 AM,10/15/1611 8:21 PM,2,5.572133,17.375241,,,12.854254,2,2,4,3,1,2,143,2,2,1,27.755188,9
6e32d283,12/24/1603 12:30 AM,10/13/1611 8:28 AM,,,3.019368,6.553303,80.152461,36.024665,2,,4,2,1,2,157,3,3,1,13.334383,9
6e32d2d0,5/8/1602 3:58 PM,4/8/1610 10:51 PM,2,31.557733,20.547193,46.678794,83.853974,35.871728,2,2,2,2,1,2,139,3,2,1,30.774718,9
6e32d33e,10/9/1600 12:15 AM,8/5/1610 4:38 PM,2,62.288617,53.789719,31.317049,,29.9124,2,3,3,2,1,2,106,2,5,1,64.420999,9
6e32d385,2/3/1603 12:12 AM,7/9/1607 10:32 PM,2,,97.498076,9.536577,130.252899,44.947862,2,3,4,4,1,2,63,2,2,1,108.297226,9
6e32d38f,10/24/1601 11:19 AM,6/16/1612 12:59 AM,2,77.939322,11.613244,96.970184,14.716152,4.645776,2,4,3,3,1,2,148,2,2,1,21.897044,9
6e32d3a1,1/18/1602 10:36 PM,9/8/1609 4:34 AM,2,39.252299,19.431022,5.121175,75.737559,30.616621,,3,4,3,1,2,141,3,3,1,29.706438,9
6e32d436,5/27/1606 8:19 PM,7/7/1609 9:54 PM,2,,44.754921,,179.98064,34.652659,2,3,2,4,1,2,115,3,2,,54.890862,9
