House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder
6e32ced5,3/12/1600 1:19 AM,10/26/1607 9:54 PM,2,32.624227,1.95597,88.485147,77.692256,33.929217,2,3,2,2,1,2,158,3,4,1,12.389964,10
6e32cee4,12/3/1601 8:59 PM,8/5/1607 11:20 PM,2,13.986232,0.212412,20.485516,138.362509,78.94806,2,4,3,2,1,2,160,3,2,1,10.794902,10
6e32cef3,1/14/1602 4:22 AM,8/27/1611 9:25 PM,2,,23.338276,126.491446,128.876997,0.630053,2,3,4,2,1,2,137,2,3,1,34.143765,10
6e32d003,2/1/1606 12:34 PM,1/16/1608 9:28 AM,,,84.490468,60.125968,47.483615,57.461829,2,2,2,4,1,1,76,3,,2,95.46071,10
6e32d035,10/25/1606 9:33 AM,6/26/1612 8:27 AM,2,42.73277,8.168785,138.642448,44.588025,66.347237,2,4,3,3,1,1,152,2,2,2,18.370135,10
6e32d06d,7/15/1603 5:26 PM,8/5/1608 8:32 PM,2,,52.160561,21.63996,137.605033,45.171562,2,2,2,2,1,2,108,3,5,1,62.337068,10
6e32d09b,7/18/1600 1:29 PM,1/25/1610 12:47 AM,,6.133424,9.548414,62.14781,164.368723,51.074174,2,2,2,4,1,2,150,2,3,,19.852732,10
6e32d0a9,12/13/1601 1:29 AM,7/9/1611 8:33 AM,2,34.516962,12.362987,51.752341,221.167684,23.389574,2,3,4,4,1,2,148,2,3,,23.207646,10
6e32d17d,3/27/1604 8:13 PM,8/1/1612 10:25 AM,2,52.818865,58.917994,,,38.749152,1,2,4,4,1,2,101,2,3,1,69.27917,10
6e32d19a,12/28/1603 7:44 PM,8/12/1607 12:28 AM,2,4.08862,18.35804,35.164609,97.013636,72.149977,2,3,3,,1,2,142,2,2,1,28.407371,10
6e32d1e3,3/18/1600 6:26 AM,9/2/1608 11:13 AM,,,28.133654,110.38705,155.675028,75.893477,1,2,2,2,1,,132,3,2,1,38.995417,10
6e32d21d,12/15/1604 6:54 PM,10/3/1608 12:31 PM,2,26.439016,21.152981,12.609816,152.645551,21.630427,1,2,2,4,1,2,139,2,2,1,31.955509,10
6e32d269,4/19/1604 1:51 PM,12/14/1612 3:17 PM,2,18.787588,21.7659,,81.202202,27.218572,2,3,3,3,1,2,138,2,3,,32.449107,10
6e32d275,2/7/1600 10:18 PM,7/24/1607 6:51 PM,2,79.121346,30.069478,35.058883,65.446763,13.301845,2,3,3,3,1,,130,2,2,1,40.269542,10
6e32d27b,7/25/1600 5:31 AM,4/3/1608 6:50 PM,2,155.302724,46.140427,3.804466,51.617393,23.031992,1,3,2,4,1,2,114,2,4,1,56.996501,10
6e32d29d,6/19/1600 2:21 AM,9/4/1608 4:42 AM,2,90.291618,63.684995,86.769286,112.12868,50.914717,2,2,2,3,1,1,96,3,4,2,74.665942,10
6e32d2a0,8/3/1606 10:21 AM,8/3/1610 1:30 AM,2,19.01135,68.471378,73.262602,145.073613,11.284554,2,4,4,2,1,2,92,2,5,1,79.325718,10
6e32d2ad,12/12/1606 9:39 PM,8/17/1610 9:37 PM,2,40.716963,6.492564,22.332631,106.545748,5.673422,2,3,2,3,1,2,154,3,2,,17.315056,10
6e32d2c5,3/24/1602 12:47 AM,2/18/1608 10:42 AM,2,7.838669,8.9473,1.339341,123.740967,50.107181,2,2,4,4,1,1,151,2,2,2,19.729401,10
6e32d2eb,12/19/1601 1:13 PM,8/25/1607 8:58 AM,2,,58.149003,17.914025,20.636946,30.103003,2,4,4,2,1,2,102,2,2,1,69.059271,10
6e32d397,3/8/1600 7:23 PM,4/15/1612 7:15 PM,2,,62.227678,41.576516,7.502226,24.321214,2,2,4,4,1,2,98,2,2,1,72.620366,10
