House ID,Build Date,Priced Date,Garden Space,Dock,Capital,Royal,Guarding,River,Renovation,Dining Rooms,Bedromms,Bathrooms,Visit,Sorcerer,Blessings,In Front,Location,Holy Tree,Distance from Knight's house,Builder,Golden Grains
6e32cec0,4/21/1602 12:41 AM,7/9/1609 1:11 AM,2.0,138.600639,0.256239,69.486467,14.394903,63.109038,2.0,3.0,4.0,,1,2.0,160,2,5.0,1.0,10.505662,1,1470912
6e32ceda,10/23/1603 11:14 PM,10/21/1611 7:40 AM,2.0,10.998322,122.930753,63.794375,53.019891,17.045949,2.0,4.0,3.0,3.0,1,2.0,37,3,2.0,1.0,132.934312,1,1052137
6e32cf09,3/18/1603 3:53 AM,5/17/1610 9:36 PM,2.0,52.819705000000006,80.970959,96.656914,70.965631,6.548119,2.0,2.0,2.0,3.0,1,2.0,79,2,3.0,1.0,91.42535699999999,1,1017577
6e32cfa9,8/18/1606 12:23 AM,1/20/1608 10:45 AM,2.0,82.283966,4.331436,29.043012,119.126593,24.298254999999997,2.0,,2.0,3.0,1,1.0,156,2,3.0,2.0,14.695101999999999,1,1409057
6e32cfb7,9/11/1603 11:53 AM,5/20/1611 4:49 PM,2.0,34.524141,,6.740951,222.341302,1.821655,2.0,4.0,2.0,4.0,1,2.0,74,2,2.0,1.0,,1,1317434
6e32cfd5,6/13/1601 1:25 PM,6/19/1611 4:13 AM,,38.877415,25.065928,,76.196189,1.2577209999999999,2.0,3.0,3.0,3.0,1,2.0,135,3,4.0,,35.568437,1,1333643
6e32d0c0,1/19/1606 12:50 PM,10/27/1610 9:13 PM,2.0,35.988844,4.570255,67.579542,157.877738,15.756025,2.0,2.0,3.0,4.0,1,2.0,155,2,2.0,1.0,15.068710999999999,1,1462503
6e32d0f3,11/22/1606 11:22 PM,1/13/1611 11:32 AM,2.0,83.914728,107.184545,57.067604,147.898157,55.592034,2.0,2.0,4.0,4.0,1,1.0,53,2,2.0,,117.410316,1,930118
6e32d166,1/7/1602 3:34 AM,1/2/1607 3:19 PM,2.0,64.28828299999999,101.610694,,204.669501,60.009117,2.0,2.0,4.0,3.0,1,2.0,58,2,2.0,1.0,112.49455400000001,1,1014617
6e32d234,6/25/1605 8:26 AM,3/11/1608 8:21 PM,2.0,59.504656000000004,29.541134000000003,3.3669599999999997,63.397907,21.391704,2.0,4.0,3.0,3.0,1,2.0,130,3,5.0,1.0,40.454345,1,1574362
6e32d244,3/22/1604 2:45 AM,10/8/1610 6:15 AM,2.0,74.89045300000001,17.524012,,86.880636,77.993602,2.0,,4.0,3.0,1,2.0,142,2,5.0,1.0,27.655990000000003,1,1408207
6e32d266,3/21/1603 7:45 AM,9/11/1611 1:14 PM,2.0,1.624838,55.12687,,163.885,16.102894,1.0,,4.0,4.0,1,1.0,105,2,5.0,2.0,65.487434,1,1294734
6e32d280,9/12/1601 6:51 AM,3/3/1608 5:42 PM,2.0,13.14006,23.920629,7.3630830000000005,154.780872,15.867466,2.0,3.0,4.0,2.0,1,2.0,136,2,5.0,1.0,34.604391,1,1525016
6e32d28a,2/15/1606 8:48 AM,1/11/1608 9:13 AM,1.0,25.738221,67.262718,31.8348,84.042989,7.106700999999999,2.0,4.0,3.0,4.0,2,2.0,93,1,5.0,1.0,77.441446,1,1382287
6e32d2e0,9/19/1604 5:28 PM,10/19/1608 3:28 PM,2.0,86.072564,85.92320600000001,85.563521,146.862456,12.638273,2.0,2.0,2.0,3.0,1,1.0,74,2,3.0,,96.73714,1,913124
6e32d315,3/7/1602 2:21 AM,5/18/1607 11:32 AM,2.0,51.245385999999996,22.260773999999998,9.938782000000002,96.415385,5.789836,2.0,,,3.0,1,2.0,138,3,,,33.157025,1,1397904
6e32d328,12/6/1606 11:19 PM,10/10/1609 12:11 PM,2.0,34.410733,16.638938,,50.512115,15.00942,1.0,2.0,4.0,4.0,1,1.0,143,2,2.0,2.0,27.320449,1,1501970
6e32d349,11/3/1602 2:22 PM,8/2/1609 1:28 PM,1.0,67.171839,73.733494,22.279648,104.567561,43.619873999999996,2.0,3.0,2.0,3.0,2,2.0,86,1,2.0,,84.14659300000001,1,1071513
6e32d3a6,12/15/1606 9:36 PM,9/7/1609 12:40 PM,2.0,61.21246,58.817801,5.643314,160.459915,41.915869,2.0,2.0,4.0,2.0,1,2.0,101,2,2.0,1.0,69.08869200000001,1,1299089
6e32d3ad,2/5/1603 6:27 PM,9/15/1610 10:47 AM,2.0,8.423696000000001,3.031959,31.432315999999997,10.970801,21.169757999999998,1.0,2.0,3.0,2.0,1,2.0,157,2,2.0,1.0,13.114153,1,1524907
6e32d3f6,4/10/1604 6:55 PM,1/18/1611 3:36 PM,2.0,,26.820090000000004,34.978795,91.361455,41.862843,2.0,3.0,2.0,4.0,1,2.0,133,2,2.0,,37.442226,1,1301197
6e32d414,8/9/1601 4:52 PM,5/12/1607 5:32 PM,2.0,57.7146,6.002568,47.348836999999996,32.106155,2.87067,2.0,4.0,3.0,,1,2.0,154,2,2.0,1.0,16.567206,1,1547380
6e32d456,8/7/1603 12:42 PM,12/20/1607 10:42 AM,2.0,15.523291,153.3606,32.174217,,33.493852000000004,2.0,,4.0,4.0,1,1.0,7,3,5.0,1.0,163.65843700000002,1,971218
6e32d460,8/24/1603 3:24 PM,11/28/1612 11:28 PM,,,8.760628,124.305272,30.021296999999997,15.976977,1.0,3.0,2.0,,1,2.0,151,2,3.0,1.0,19.113862,1,1298829
6e32d46a,4/8/1603 5:31 AM,12/5/1612 5:42 AM,2.0,42.570615000000004,5.4904,,129.093289,69.237309,2.0,2.0,2.0,3.0,1,2.0,155,2,4.0,1.0,16.031784,1,1307814
6e32d493,10/12/1606 8:17 PM,3/9/1608 3:32 AM,2.0,24.68436,9.161377,,81.939551,56.170727,2.0,2.0,3.0,4.0,1,2.0,151,2,2.0,1.0,20.134738,1,1497142
6e32d49f,10/8/1600 5:36 PM,2/4/1612 7:52 PM,2.0,71.753065,39.952939,,18.206663,4.047991000000001,2.0,4.0,2.0,2.0,1,2.0,120,2,2.0,1.0,50.871204,1,1296271
6e32d4dd,3/4/1606 7:37 AM,5/23/1608 4:45 PM,,22.060342000000002,16.090119,8.102772,146.85200700000001,4.032337,2.0,2.0,4.0,2.0,1,2.0,144,2,,1.0,26.440609999999996,1,1552937
6e32d4fa,6/3/1602 4:18 AM,12/21/1611 5:22 AM,,19.373454000000002,105.40883799999999,112.774373,111.20240700000001,18.14735,1.0,3.0,3.0,2.0,1,2.0,55,2,2.0,1.0,116.37834299999999,1,972645
6e32d5b6,9/11/1606 6:30 PM,5/13/1609 9:42 AM,2.0,72.979347,68.347073,66.60216199999999,21.463548,14.622076000000002,2.0,4.0,2.0,4.0,1,2.0,92,2,,1.0,78.594989,1,1263279
6e32d5fa,10/8/1604 10:44 AM,11/28/1612 5:18 AM,2.0,,41.525156,80.659266,106.329489,87.55446500000001,2.0,,2.0,4.0,1,2.0,118,2,2.0,,52.058128,1,1099996
6e32d621,5/18/1602 6:50 PM,8/4/1607 6:38 PM,1.0,26.366804,10.751593,20.160618,4.396858,63.833387,2.0,,4.0,4.0,2,,149,1,5.0,,21.519002,1,1480667
6e32d653,1/8/1600 4:45 PM,7/21/1608 9:17 AM,2.0,83.12575,32.009381,6.967003999999999,237.18090899999999,10.006391,2.0,,3.0,2.0,1,1.0,128,2,4.0,,42.844727,1,1193024
6e32d65a,8/13/1605 12:26 PM,7/7/1607 4:20 PM,2.0,104.336674,91.503244,42.641175,87.265123,43.742595,2.0,3.0,2.0,4.0,1,2.0,68,2,2.0,,101.584846,1,1041349
6e32d675,10/15/1602 11:59 PM,8/16/1608 6:59 PM,1.0,22.733220000000003,,50.61605,222.76421200000001,39.853352,,4.0,3.0,4.0,2,2.0,74,1,3.0,1.0,,1,1220478
6e32d6ec,7/3/1605 9:33 PM,11/5/1612 5:22 AM,2.0,32.778152,39.335229999999996,46.037997999999995,106.244859,21.599697,2.0,3.0,,4.0,1,2.0,121,2,4.0,1.0,50.137683,1,1286276
6e32d6ff,3/23/1604 12:22 AM,11/11/1612 4:28 AM,2.0,38.723276,12.31167,44.829363,16.475292,17.769839,2.0,2.0,2.0,4.0,1,2.0,148,2,2.0,,23.021557,1,1359489
6e32d711,5/12/1605 7:33 PM,9/17/1612 7:25 AM,2.0,28.254131,20.812951,24.142442000000003,248.66049900000002,2.189447,2.0,2.0,2.0,2.0,1,2.0,139,2,2.0,,31.530613,1,1296493
6e32d7b5,1/16/1604 11:37 PM,1/25/1611 1:22 PM,2.0,55.823443000000005,5.134405,15.071091000000001,137.720057,62.371781999999996,2.0,3.0,3.0,3.0,1,2.0,155,2,4.0,1.0,15.870721,1,1425114
6e32d7de,8/14/1600 2:21 AM,6/12/1611 2:42 PM,2.0,77.178597,12.818926,29.397304,104.39556800000001,19.416002,2.0,4.0,2.0,2.0,1,,147,3,5.0,1.0,23.252372,1,1461181
6e32d7e7,6/17/1600 12:25 AM,1/20/1610 2:35 PM,2.0,1.467809,39.575028,52.48075,102.150075,44.688567,1.0,4.0,2.0,3.0,1,2.0,120,2,2.0,1.0,50.2197,1,1297499
6e32d7f7,3/24/1604 11:21 PM,3/24/1612 7:39 AM,2.0,29.343360999999998,,,76.970324,11.550646,1.0,3.0,2.0,4.0,1,1.0,74,2,5.0,2.0,,1,1310906
6e32d80d,6/11/1604 11:56 AM,1/23/1607 1:25 PM,2.0,43.308427,43.776701,43.559832,48.611809,73.753749,,3.0,4.0,2.0,1,,116,3,,1.0,53.900852,1,1398757
6e32d896,3/23/1602 5:29 PM,3/2/1607 1:37 AM,2.0,5.199882,13.210754000000001,33.683797999999996,94.385622,27.752066999999997,,3.0,2.0,3.0,1,2.0,147,2,2.0,1.0,23.24939,1,1480086
6e32d8be,12/8/1600 2:58 AM,5/9/1610 10:19 PM,1.0,16.166707000000002,101.425697,120.48044499999999,214.380435,14.316628,2.0,2.0,3.0,4.0,2,2.0,59,1,2.0,1.0,111.815132,1,918664
6e32d92a,7/2/1603 1:51 AM,4/15/1610 2:10 AM,1.0,7.340811,11.626535,2.969159,19.527763,2.127443,2.0,2.0,2.0,4.0,2,2.0,148,1,2.0,1.0,22.285341,1,1500788
6e32d93e,4/19/1601 12:53 PM,2/19/1607 7:58 AM,2.0,3.2759240000000003,52.292404,7.5479970000000005,139.40264,22.829718,1.0,2.0,2.0,4.0,1,2.0,108,2,,1.0,62.451459,1,1299739
6e32d945,2/2/1602 11:19 PM,8/12/1607 3:13 PM,2.0,51.65286,34.030772999999996,64.94885699999999,97.007408,26.739409000000002,2.0,3.0,2.0,4.0,1,1.0,126,3,5.0,2.0,44.507222,1,1377640
6e32d94b,6/16/1602 5:42 AM,11/9/1609 6:41 PM,2.0,6.676025,23.393983,35.721388,90.638097,13.909392,,4.0,4.0,4.0,1,1.0,137,2,3.0,1.0,33.505463,1,1431517
6e32d99a,3/7/1601 11:46 AM,5/3/1611 4:37 AM,2.0,58.824426,5.5968919999999995,15.008745999999999,32.820676,13.827031,2.0,3.0,3.0,4.0,1,2.0,154,2,2.0,1.0,15.931279,1,1496979
6e32d9fd,6/13/1603 10:23 PM,8/13/1607 1:39 AM,2.0,12.526223,2.087338,51.60109,56.85860699999999,43.996068,2.0,4.0,2.0,3.0,1,,158,2,3.0,1.0,12.807202,1,1478397
6e32da1d,5/26/1604 12:36 PM,3/13/1609 9:34 AM,2.0,9.223375,12.955231,88.088107,108.43146399999999,12.132057000000001,1.0,3.0,3.0,4.0,1,2.0,147,2,2.0,1.0,23.793021,1,1469463
6e32da37,5/16/1601 10:12 PM,10/4/1609 7:21 AM,2.0,38.419444,16.02218,43.842614000000005,98.827479,19.632429000000002,2.0,2.0,3.0,3.0,1,2.0,144,3,2.0,1.0,26.024293,1,1434130
6e32da9a,1/6/1605 5:32 AM,4/9/1609 9:55 AM,1.0,43.299084,53.806216000000006,18.853059,151.529582,48.583086,1.0,3.0,2.0,4.0,2,2.0,106,1,5.0,1.0,63.924799,1,1291358
6e32dabb,12/2/1605 7:52 PM,11/24/1611 7:14 AM,2.0,15.935259,10.184655000000001,,92.357947,15.449139,2.0,2.0,2.0,3.0,1,2.0,150,2,,,20.366986999999998,1,1386533
6e32db08,6/26/1605 7:26 AM,8/15/1612 4:57 AM,2.0,11.523713,87.973298,15.37679,112.983892,80.233985,2.0,,2.0,3.0,1,2.0,72,2,,1.0,98.711887,1,1065094
6e32db20,3/25/1603 4:13 AM,6/21/1608 11:52 AM,2.0,15.46026,7.434185,18.379269,95.43409399999999,13.449091000000001,2.0,3.0,3.0,2.0,1,2.0,153,3,2.0,1.0,17.443489000000003,1,1579680
6e32db25,9/25/1604 6:30 AM,8/28/1608 8:11 PM,,15.849066,15.696596,103.469976,186.80322900000002,78.881186,1.0,4.0,3.0,3.0,1,,144,3,3.0,1.0,26.586301000000002,1,1350517
6e32db4f,7/23/1602 12:30 PM,7/3/1608 9:22 PM,2.0,47.874459,0.672768,,123.96550900000001,38.988267,2.0,2.0,3.0,4.0,1,2.0,159,2,,1.0,11.511937,1,1463254
6e32dbb8,8/24/1602 3:23 AM,8/1/1610 9:26 PM,2.0,49.615815999999995,123.454633,25.094486,244.284057,52.705442000000005,2.0,2.0,2.0,4.0,1,1.0,37,2,2.0,,133.739395,1,779700
6e32dbf1,3/15/1605 12:15 PM,3/10/1608 8:16 PM,2.0,,,92.935618,11.029339,72.91341899999999,2.0,2.0,4.0,4.0,1,2.0,74,3,3.0,1.0,,1,1265581
6e32dc24,5/27/1604 1:24 PM,6/2/1612 9:48 PM,2.0,44.823274,5.404916,23.778922,30.281423999999998,5.730475,2.0,4.0,,3.0,1,2.0,155,2,,1.0,15.712185999999999,1,1526613
6e32dcf6,9/16/1605 6:17 AM,11/11/1610 11:35 PM,,88.96430500000001,28.174055,84.080113,22.450239,17.860344,2.0,,4.0,3.0,1,2.0,132,2,,1.0,39.068399,1,1375629
6e32dd65,9/10/1603 3:50 AM,6/27/1610 11:57 PM,2.0,27.201874,87.17008100000001,21.704714000000003,139.50208600000002,56.897865,2.0,4.0,3.0,2.0,1,1.0,73,2,2.0,,97.79099699999999,1,1067834
6e32dda9,11/24/1603 2:40 PM,10/1/1609 2:36 AM,2.0,26.687994,,32.268293,11.903833,15.684358999999999,2.0,3.0,2.0,4.0,1,2.0,74,2,2.0,1.0,,1,1351435
6e32dde0,1/4/1601 11:25 PM,12/1/1608 10:57 AM,2.0,24.16349,37.969223,,39.814316,0.21714099999999997,2.0,2.0,4.0,4.0,1,1.0,122,2,,2.0,48.636099,1,1374083
6e32de28,6/5/1602 12:47 AM,11/8/1611 5:40 AM,2.0,12.605132000000001,11.295584,46.002054,34.036435,8.416015,2.0,2.0,3.0,4.0,1,1.0,149,3,5.0,2.0,21.851463,1,1514874
6e32deaa,7/25/1600 2:28 AM,9/19/1608 4:18 AM,2.0,16.724667,11.002872,41.762959,64.170121,22.754807999999997,,2.0,2.0,2.0,1,1.0,149,2,4.0,,21.756024,1,1311292
6e32df00,6/3/1605 9:11 AM,1/15/1612 6:31 PM,2.0,59.212727,120.65714299999999,45.360488000000004,77.679897,52.65919,2.0,4.0,2.0,4.0,1,1.0,39,3,4.0,,130.96508,1,887487
6e32df2e,9/22/1602 10:42 AM,10/4/1611 11:48 PM,2.0,125.126236,10.314759,28.717444,77.198389,8.092794999999999,2.0,4.0,4.0,3.0,1,2.0,150,3,3.0,1.0,20.564642000000003,1,1450473
6e32e01e,10/6/1603 7:42 AM,10/3/1610 11:29 PM,2.0,1.810028,1.947959,,255.264298,64.84445600000001,2.0,3.0,3.0,4.0,1,2.0,158,2,3.0,1.0,12.53544,1,1375611
6e32e097,2/1/1602 11:10 PM,10/2/1608 6:40 AM,2.0,15.839628,45.37015,24.720838,90.376196,82.071164,2.0,,2.0,,1,,115,3,4.0,,55.949524,1,1184729
6e32e0ce,12/21/1606 11:13 AM,8/6/1610 2:13 PM,2.0,65.144325,7.909117999999999,33.088162,115.476211,11.190709,1.0,2.0,4.0,3.0,1,2.0,152,3,4.0,1.0,18.846020000000003,1,1524597
6e32e0d0,12/20/1602 3:18 PM,2/26/1611 2:15 PM,,13.081048,9.110691000000001,,144.365165,47.023063,2.0,,4.0,4.0,1,2.0,151,3,,1.0,19.492473,1,1469191
6e32e16d,1/16/1606 12:31 AM,10/3/1607 12:52 AM,2.0,16.634217,16.621247,10.168153,157.431607,54.52867,2.0,3.0,2.0,,1,2.0,143,2,2.0,,27.4167,1,1409066
6e32e16f,11/8/1606 4:25 AM,3/4/1611 9:25 PM,2.0,47.5965,44.805686,27.371908,107.71319799999999,39.246439,2.0,2.0,3.0,3.0,1,2.0,115,2,4.0,1.0,55.456055000000006,1,1291631
6e32e1d4,12/23/1603 5:49 AM,4/21/1608 1:47 PM,2.0,82.147534,32.661442,80.11073,43.606171,8.795478,2.0,2.0,4.0,2.0,1,2.0,127,3,3.0,1.0,43.416195,1,1346680
6e32e221,8/16/1605 1:34 AM,2/17/1611 10:51 PM,2.0,28.324443,3.84249,20.863578,14.166289,67.382412,2.0,3.0,2.0,3.0,1,1.0,156,2,4.0,2.0,14.297767000000002,1,1448066
6e32e250,6/20/1601 7:23 PM,9/24/1609 5:12 PM,2.0,45.18362,54.931293000000004,42.081209,108.23026100000001,59.184777000000004,2.0,,4.0,3.0,1,2.0,105,2,2.0,,65.18136899999999,1,1165844
6e32e28f,5/2/1605 11:26 AM,7/5/1607 2:21 AM,2.0,135.265118,37.745845,,107.81263700000001,26.799044,1.0,2.0,4.0,2.0,1,2.0,122,3,2.0,,47.842156,1,1306574
6e32e2a4,1/5/1604 10:26 PM,6/19/1608 2:16 AM,2.0,51.315595,51.725024,7.025047,111.925077,73.166352,,,2.0,4.0,1,2.0,108,2,5.0,1.0,61.864059,1,1287673
6e32e2d9,5/11/1601 3:42 PM,3/2/1607 5:15 AM,2.0,,,,189.283205,36.118357,2.0,4.0,2.0,4.0,1,2.0,74,2,2.0,1.0,,1,1267966
6e32e347,9/11/1605 10:24 PM,6/13/1608 1:37 AM,2.0,30.305332,,6.059265,65.46014,7.488544999999999,2.0,3.0,3.0,2.0,1,2.0,74,3,,1.0,,1,1456360
6e32e3c3,9/25/1606 8:31 PM,2/28/1609 2:13 AM,2.0,3.0019099999999996,89.180123,105.585376,71.619233,50.052076,1.0,,4.0,4.0,1,2.0,71,3,2.0,1.0,99.635513,1,1173112
6e32e404,12/5/1605 3:35 AM,7/28/1608 6:22 AM,2.0,114.30028200000001,2.4145060000000003,55.800295,188.085562,19.233235999999998,2.0,2.0,3.0,4.0,1,2.0,158,2,2.0,1.0,12.860578,1,1445892
6e32e51e,1/13/1605 1:20 PM,1/5/1608 1:46 AM,1.0,22.385752,40.107603000000005,30.616839000000002,39.002151,42.543711,2.0,3.0,4.0,4.0,2,1.0,120,1,,2.0,50.767657,1,1409120
6e32e5cf,8/27/1600 7:30 PM,6/10/1609 10:12 AM,2.0,34.049228,26.389844,,193.66661499999998,1.109117,1.0,4.0,4.0,2.0,1,2.0,134,2,2.0,1.0,36.464228999999996,1,1416819
6e32e5f7,5/24/1605 5:38 PM,2/1/1610 5:57 PM,2.0,16.562079999999998,15.022810999999999,109.878399,152.610656,14.568437,2.0,2.0,2.0,4.0,1,2.0,145,2,2.0,,25.187162,1,1304996
6e32e680,11/10/1600 7:46 PM,5/4/1609 2:22 PM,2.0,41.427792,4.474864,134.99088999999998,108.24328,51.250840999999994,2.0,3.0,4.0,3.0,1,1.0,156,2,2.0,2.0,15.302723,1,1358804
6e32e6ef,1/1/1604 2:55 PM,3/10/1609 6:49 AM,2.0,13.56572,16.203653,52.308181,80.59403,42.641244,1.0,2.0,2.0,3.0,1,2.0,144,2,3.0,,26.567956,1,1289312
6e32e73d,12/24/1605 12:30 PM,8/7/1612 5:24 AM,2.0,82.168654,94.81258000000001,71.11720799999999,148.822825,55.926967000000005,1.0,4.0,3.0,3.0,1,2.0,65,2,2.0,1.0,104.857114,1,1032602
6e32e752,4/10/1600 10:45 AM,7/7/1609 1:17 AM,1.0,127.480179,26.950685999999997,,153.51723700000002,39.922491,2.0,4.0,2.0,3.0,2,2.0,133,1,2.0,,37.751382,1,1184300
6e32e761,7/7/1601 9:22 AM,7/9/1607 9:14 PM,2.0,62.236922,87.094436,32.054481,136.22398700000002,70.01677600000001,2.0,2.0,2.0,2.0,1,2.0,73,2,2.0,,97.59184599999999,1,972329
6e32e7f3,10/14/1601 5:35 AM,10/7/1608 12:54 PM,2.0,36.539896,55.464302,86.703919,127.638044,10.789867,,4.0,4.0,,1,2.0,105,2,5.0,1.0,65.89635899999999,1,1330539
6e32e804,2/12/1601 12:48 PM,7/14/1609 7:12 AM,1.0,16.072991000000002,39.069937,73.19433000000001,136.762181,17.511452,2.0,4.0,2.0,3.0,2,2.0,121,1,3.0,,49.452,1,1165609
6e32e8a3,12/19/1605 4:47 AM,2/15/1611 9:43 AM,2.0,61.838044999999994,16.498299,31.776390999999997,182.154267,14.830369000000001,2.0,,2.0,4.0,1,2.0,144,3,3.0,,26.58137,1,1305664
6e32e93d,3/5/1605 12:31 PM,11/9/1609 4:49 PM,,66.435503,17.236429,,101.28843499999999,35.670145,2.0,3.0,4.0,3.0,1,,143,2,2.0,1.0,28.079590999999997,1,1459513
6e32ea1a,5/1/1606 9:25 AM,12/25/1612 6:50 AM,2.0,32.401973999999996,109.03440400000001,120.63898600000002,1.119132,20.098717999999998,,2.0,3.0,2.0,1,2.0,51,2,4.0,1.0,119.8471,1,958252
6e32eade,7/24/1600 2:45 AM,11/13/1612 4:46 AM,2.0,48.233534000000006,43.952529,24.276904000000002,107.793152,3.2984150000000003,1.0,3.0,2.0,2.0,1,1.0,116,3,2.0,2.0,54.548967000000005,1,1263319
6e32eb2e,3/8/1606 3:58 PM,4/20/1611 3:43 PM,2.0,1.776603,111.873341,46.73829,110.78745500000001,10.520413000000001,2.0,2.0,4.0,4.0,1,2.0,48,3,3.0,1.0,122.499701,1,1072650
6e32eba2,2/4/1601 2:57 AM,3/1/1607 8:55 AM,2.0,108.148432,99.508893,54.003577,137.856256,54.188680000000005,2.0,4.0,2.0,2.0,1,2.0,60,2,2.0,1.0,109.62433899999999,1,990032
6e32ebe3,2/26/1603 6:21 AM,3/2/1612 5:49 PM,1.0,18.372118,58.798303000000004,77.258708,204.578363,22.760581,2.0,3.0,3.0,2.0,2,,101,1,2.0,1.0,69.5937,1,1156226
6e32ec34,1/14/1602 6:28 PM,1/8/1607 8:55 PM,2.0,54.682880000000004,5.221499,,77.372943,19.719589000000003,1.0,4.0,3.0,2.0,1,2.0,155,3,3.0,1.0,15.719701999999998,1,1503679
6e32ec41,3/17/1605 8:36 PM,1/15/1608 7:19 AM,,57.964,127.83454499999999,5.321363,116.266894,14.385904,2.0,2.0,2.0,3.0,1,,32,2,3.0,1.0,137.88326999999998,1,938528
6e32ec5a,1/1/1601 8:33 AM,5/10/1609 2:56 PM,1.0,23.510414,49.29521,151.288415,131.88196000000002,20.168419,2.0,2.0,3.0,4.0,2,2.0,111,1,2.0,1.0,59.439963,1,1138767
6e32ec6c,3/3/1606 7:19 AM,12/14/1609 4:46 PM,2.0,70.255352,33.257968,83.186841,80.520978,29.91295,2.0,4.0,,3.0,1,2.0,127,2,4.0,1.0,43.873319,1,1315708
6e32ec80,5/19/1604 4:17 PM,10/26/1610 2:26 AM,2.0,65.831653,19.192357,53.079043000000006,58.662218,2.972107,2.0,4.0,4.0,3.0,1,2.0,141,2,5.0,1.0,29.319049,1,1539795
6e32ece6,3/25/1602 2:41 PM,2/12/1609 12:41 PM,2.0,55.439489,,48.120112,42.567071999999996,60.529479,2.0,2.0,2.0,2.0,1,2.0,74,2,2.0,,,1,1156359
6e32ed04,7/8/1601 3:15 AM,2/3/1611 10:18 AM,2.0,,8.058761,20.311868,46.381771,69.937763,2.0,3.0,2.0,4.0,1,,152,2,3.0,1.0,18.48293,1,1351000
6e32ed11,5/16/1603 10:30 AM,4/5/1607 10:32 AM,2.0,17.129436,17.201414,31.403159000000002,222.77504199999998,10.59375,2.0,2.0,3.0,3.0,1,2.0,143,2,5.0,,27.304674,1,1432871
6e32ed33,5/20/1604 4:22 PM,1/12/1609 2:42 AM,2.0,,35.271252000000004,101.858187,85.34764100000001,20.584175,2.0,3.0,2.0,3.0,1,1.0,125,2,4.0,2.0,46.270154999999995,1,1255964
6e32ed5a,5/15/1603 9:56 AM,4/4/1609 7:32 AM,1.0,,30.996251,56.341857,110.892347,11.575105,2.0,3.0,4.0,2.0,2,2.0,129,1,,,41.112673,1,1329892
6e32ed6a,4/19/1604 1:44 AM,7/24/1607 6:16 AM,2.0,,35.665605,39.916627000000005,,48.211436,1.0,4.0,3.0,3.0,1,1.0,124,3,5.0,,45.997921000000005,1,1396126
6e32ed82,11/9/1604 1:35 PM,4/11/1609 10:47 PM,,10.979683999999999,42.896108,15.964731,74.78218299999999,92.201144,,4.0,3.0,2.0,1,2.0,117,2,,1.0,53.186859,1,1366892
6e32ed87,9/21/1604 10:45 AM,8/16/1607 2:22 AM,2.0,10.596388000000001,1.603441,0.781043,85.074174,10.146600999999999,2.0,3.0,2.0,4.0,1,2.0,158,2,2.0,1.0,12.554745,1,1606629
6e32edb5,3/11/1605 7:34 PM,2/21/1612 2:29 PM,1.0,10.357316,136.261606,39.595299,62.236329000000005,2.1932240000000003,2.0,3.0,4.0,3.0,2,,24,1,4.0,1.0,146.286293,1,972801
6e32edd2,1/16/1605 5:19 PM,4/13/1609 5:23 PM,2.0,17.422897,108.569001,,158.95542700000001,19.399077,2.0,4.0,4.0,3.0,1,2.0,51,2,2.0,,119.38206799999999,1,1072466
6e32ee37,8/18/1602 11:42 AM,7/11/1612 11:54 PM,1.0,27.342540000000003,82.333804,,143.918899,15.034107999999998,2.0,4.0,4.0,4.0,2,2.0,78,1,2.0,1.0,93.197305,1,1160050
6e32eeb4,6/28/1602 4:51 PM,6/19/1612 3:20 PM,2.0,23.844463,29.617033000000003,8.060128,49.506017,29.606564000000002,1.0,2.0,2.0,3.0,1,2.0,130,2,5.0,,40.589013,1,1329631
6e32eece,11/21/1603 5:30 AM,8/2/1611 7:33 PM,1.0,,72.789621,17.755532000000002,86.666803,13.092128,2.0,,2.0,2.0,2,1.0,87,1,2.0,2.0,82.794337,1,1129141
6e32ef34,8/3/1605 5:47 PM,5/9/1611 5:51 PM,1.0,25.677081,7.700492999999999,116.374439,216.41214100000002,11.27701,2.0,4.0,3.0,3.0,2,2.0,152,1,5.0,,18.01107,1,1389191
6e32ef46,3/1/1605 7:40 AM,5/28/1611 1:11 PM,2.0,17.400528,35.943465,14.721642999999998,63.783963,40.012636,2.0,2.0,4.0,,1,2.0,124,2,4.0,1.0,46.349177000000005,1,1378371
6e32ef67,9/26/1601 4:20 PM,11/16/1607 8:42 PM,1.0,,106.49321100000002,78.748674,,18.117324,2.0,3.0,3.0,4.0,2,,54,1,3.0,1.0,117.181909,1,962626
6e32ef72,4/13/1600 7:14 AM,5/4/1611 3:37 PM,2.0,43.940734,12.563324,,157.878727,6.119341,2.0,4.0,3.0,3.0,1,2.0,147,3,4.0,1.0,22.621679999999998,1,1421726
6e32ef77,2/28/1600 1:55 PM,4/2/1612 4:16 AM,2.0,44.031469,44.33033,78.955361,0.45024899999999995,46.391247,2.0,3.0,4.0,4.0,1,,116,2,2.0,1.0,54.75326,1,1264047
6e32ef8e,4/23/1606 5:55 AM,8/4/1610 11:52 PM,2.0,110.11833500000002,34.550214000000004,37.741367,200.94298799999999,20.646128,,2.0,3.0,2.0,1,2.0,125,2,5.0,,45.317170000000004,1,1277350
